"",BBK01.OXA8M5,BBK01.OXA8M5_FLAGS
"","Stocks of loans to domestic employees and other individuals (including bills of exchange), traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:43,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,2.221,
2010-07,2.073,
2010-08,1.943,
2010-09,1.804,
2010-10,1.659,
2010-11,1.506,
2010-12,1.356,
2011-01,1.264,
2011-02,1.728,
2011-03,1.622,
2011-04,1.529,
2011-05,1.430,
2011-06,1.834,
2011-07,2.546,
2011-08,2.463,
2011-09,2.323,
2011-10,2.256,
2011-11,2.189,
2011-12,2.124,
2012-01,2.039,
2012-02,1.999,
2012-03,1.900,
2012-04,1.853,
2012-05,1.807,
2012-06,1.715,
2012-07,1.677,
2012-08,1.646,
2012-09,1.608,
2012-10,1.566,
2012-11,1.516,
2012-12,1.538,
2013-01,1.421,
2013-02,2.023,
2013-03,1.940,
2013-04,1.846,
2013-05,1.752,
2013-06,1.665,
2013-07,2.095,
2013-08,2.000,
2013-09,1.884,
2013-10,1.801,
2013-11,1.731,
2013-12,1.666,
2014-01,1.597,
2014-02,1.530,
2014-03,1.458,
2014-04,1.389,
2014-05,2.267,
2014-06,2.154,
2014-07,2.056,
2014-08,2.010,
2014-09,1.937,
2014-10,1.828,
2014-11,2.325,
2014-12,2.269,Provisional value
