"",BBK01.WU0062,BBK01.WU0062_FLAGS
"",Net sales of domestic debt securities at nominal value / Public debt securities,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:15:44,
1948-01,-,Nothing exists
1948-02,-,Nothing exists
1948-03,-,Nothing exists
1948-04,-,Nothing exists
1948-05,-,Nothing exists
1948-06,-,Nothing exists
1948-07,-,Nothing exists
1948-08,-,Nothing exists
1948-09,-,Nothing exists
1948-10,-,Nothing exists
1948-11,-,Nothing exists
1948-12,-,Nothing exists
1949-01,-,Nothing exists
1949-02,-,Nothing exists
1949-03,-,Nothing exists
1949-04,-,Nothing exists
1949-05,-,Nothing exists
1949-06,33,
1949-07,172,
1949-08,-,Nothing exists
1949-09,-,Nothing exists
1949-10,8,
1949-11,3,
1949-12,-,Nothing exists
1950-01,13,
1950-02,-,Nothing exists
1950-03,-,Nothing exists
1950-04,-,Nothing exists
1950-05,2,
1950-06,6,
1950-07,1,
1950-08,3,
1950-09,82,
1950-10,-,Nothing exists
1950-11,3,
1950-12,3,
1951-01,4,
1951-02,1,
1951-03,1,
1951-04,1,
1951-05,2,
1951-06,0,
1951-07,1,
1951-08,1,
1951-09,2,
1951-10,17,
1951-11,1,
1951-12,1,
1952-01,1,
1952-02,1,
1952-03,2,
1952-04,1,
1952-05,91,
1952-06,1,
1952-07,9,
1952-08,6,
1952-09,2,
1952-10,0,
1952-11,16,
1952-12,82,
1953-01,181,
1953-02,9,
1953-03,27,
1953-04,36,
1953-05,30,
1953-06,10,
1953-07,14,
1953-08,28,
1953-09,29,
1953-10,9,
1953-11,4,
1953-12,19,
1954-01,0,
1954-02,20,
1954-03,103,
1954-04,2,
1954-05,1,
1954-06,51,
1954-07,2,
1954-08,-4,
1954-09,2,
1954-10,1,
1954-11,-1,
1954-12,2,
1955-01,11,
1955-02,1,
1955-03,1,
1955-04,3,
1955-05,-,Nothing exists
1955-06,0,
1955-07,3,
1955-08,129,
1955-09,-1,
1955-10,3,
1955-11,5,
1955-12,1,
1956-01,-8,
1956-02,1,
1956-03,1,
1956-04,0,
1956-05,-4,
1956-06,-5,
1956-07,-5,
1956-08,0,
1956-09,-3,
1956-10,43,
1956-11,4,
1956-12,-7,
1957-01,72,
1957-02,16,
1957-03,2,
1957-04,9,
1957-05,6,
1957-06,24,
1957-07,32,
1957-08,13,
1957-09,-1,
1957-10,46,
1957-11,-203,
1957-12,43,
1958-01,80,
1958-02,31,
1958-03,32,
1958-04,115,
1958-05,160,
1958-06,-21,
1958-07,121,
1958-08,13,
1958-09,-6,
1958-10,304,
1958-11,17,
1958-12,-5,
1959-01,66,
1959-02,77,
1959-03,14,
1959-04,206,
1959-05,114,
1959-06,-205,
1959-07,63,
1959-08,107,
1959-09,6,
1959-10,94,
1959-11,148,
1959-12,41,
1960-01,249,
1960-02,27,
1960-03,-12,
1960-04,13,
1960-05,1,
1960-06,-28,
1960-07,-4,
1960-08,7,
1960-09,164,
1960-10,52,
1960-11,98,
1960-12,37,
1961-01,415,
1961-02,144,
1961-03,27,
1961-04,55,
1961-05,99,
1961-06,1,
1961-07,128,
1961-08,-1,
1961-09,-4,
1961-10,1,
1961-11,66,
1961-12,37,
1962-01,127,
1962-02,270,
1962-03,-6,
1962-04,123,
1962-05,15,
1962-06,-42,
1962-07,310,
1962-08,183,
1962-09,19,
1962-10,148,
1962-11,-71,
1962-12,125,
1963-01,282,
1963-02,227,
1963-03,21,
1963-04,285,
1963-05,161,
1963-06,132,
1963-07,67,
1963-08,142,
1963-09,48,
1963-10,252,
1963-11,70,
1963-12,-17,
1964-01,380,
1964-02,128,
1964-03,119,
1964-04,21,
1964-05,216,
1964-06,27,
1964-07,50,
1964-08,191,
1964-09,162,
1964-10,228,
1964-11,133,
1964-12,15,
1965-01,403,
1965-02,2,
1965-03,45,
1965-04,213,
1965-05,170,
1965-06,173,
1965-07,240,
1965-08,3,
1965-09,29,
1965-10,143,
1965-11,118,
1965-12,52,
1966-01,202,
1966-02,-61,
1966-03,154,
1966-04,-15,
1966-05,-11,
1966-06,3,
1966-07,-20,
1966-08,-107,
1966-09,-20,
1966-10,-24,
1966-11,3,
1966-12,111,
1967-01,577,
1967-02,178,
1967-03,170,
1967-04,159,
1967-05,253,
1967-06,67,
1967-07,553,
1967-08,287,
1967-09,135,
1967-10,151,
1967-11,242,
1967-12,-167,
1968-01,512,
1968-02,327,
1968-03,30,
1968-04,150,
1968-05,117,
1968-06,163,
1968-07,271,
1968-08,-13,
1968-09,88,
1968-10,124,
1968-11,-62,
1968-12,185,
1969-01,167,
1969-02,20,
1969-03,-15,
1969-04,17,
1969-05,-26,
1969-06,-46,
1969-07,-31,
1969-08,371,
1969-09,83,
1969-10,52,
1969-11,126,
1969-12,-406,
1970-01,-100,
1970-02,-99,
1970-03,59,
1970-04,331,
1970-05,-21,
1970-06,-106,
1970-07,216,
1970-08,201,
1970-09,145,
1970-10,-45,
1970-11,67,
1970-12,409,
1971-01,376,
1971-02,33,
1971-03,124,
1971-04,482,
1971-05,93,
1971-06,-154,
1971-07,-86,
1971-08,104,
1971-09,417,
1971-10,374,
1971-11,223,
1971-12,297,
1972-01,1288,
1972-02,739,
1972-03,301,
1972-04,77,
1972-05,275,
1972-06,77,
1972-07,433,
1972-08,145,
1972-09,51,
1972-10,329,
1972-11,-32,
1972-12,102,
1973-01,52,
1973-02,497,
1973-03,704,
1973-04,-189,
1973-05,-253,
1973-06,-99,
1973-07,336,
1973-08,289,
1973-09,-28,
1973-10,750,
1973-11,432,
1973-12,-258,
1974-01,422,
1974-02,-81,
1974-03,-128,
1974-04,-229,
1974-05,267,
1974-06,117,
1974-07,322,
1974-08,647,
1974-09,223,
1974-10,171,
1974-11,471,
1974-12,882,
1975-01,756,
1975-02,750,
1975-03,415,
1975-04,1520,
1975-05,714,
1975-06,1175,
1975-07,356,
1975-08,103,
1975-09,50,
1975-10,81,
1975-11,-231,
1975-12,1199,
1976-01,412,
1976-02,326,
1976-03,595,
1976-04,283,
1976-05,1383,
1976-06,89,
1976-07,1394,
1976-08,1335,
1976-09,464,
1976-10,64,
1976-11,710,
1976-12,1577,
1977-01,768,
1977-02,805,
1977-03,535,
1977-04,1350,
1977-05,96,
1977-06,1541,
1977-07,688,
1977-08,1612,
1977-09,499,
1977-10,1350,
1977-11,397,
1977-12,1195,
1978-01,402,
1978-02,772,
1978-03,661,
1978-04,214,
1978-05,32,
1978-06,1675,
1978-07,-283,
