"",BBK01.OEAB23M,BBK01.OEAB23M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:23,
2002-01,1.435,
2002-04,1.572,
2002-07,1.640,
2002-10,1.645,
2003-01,1.680,
2003-04,2.262,
2003-07,2.510,
2003-10,2.507,
2004-01,2.644,
2004-04,2.438,
2004-07,2.372,
2004-10,2.263,
2005-01,2.350,
2005-04,2.482,
2005-07,2.210,
2005-10,1.848,
2006-01,1.956,
2006-04,2.109,
2006-07,1.846,
2006-10,1.815,
2007-01,1.881,
2007-04,1.870,
2007-07,1.742,
2007-10,1.744,
2008-01,1.761,
2008-04,1.949,
2008-07,2.187,
2008-10,2.253,
2009-01,2.346,
2009-04,2.266,
2009-07,2.507,
2009-10,2.503,
2010-01,2.259,
2010-04,2.569,
2010-07,2.311,
2010-10,2.186,
2011-01,1.967,
2011-04,1.799,
2011-07,2.245,
2011-10,2.787,
2012-01,3.078,
2012-04,3.014,
2012-07,2.980,
2012-10,3.032,
2013-01,2.855,
2013-04,2.886,
2013-07,2.763,
2013-10,2.574,
2014-01,2.490,
2014-04,2.151,
2014-07,2.006,
