"",BBK01.OEBB23U,BBK01.OEBB23U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:09,
2002-01,0.086,
2002-04,0.102,
2002-07,0.104,
2002-10,0.109,
2003-01,0.104,
2003-04,0.101,
2003-07,0.105,
2003-10,0.107,
2004-01,0.107,
2004-04,0.099,
2004-07,0.100,
2004-10,0.085,
2005-01,0.069,
2005-04,0.064,
2005-07,0.065,
2005-10,0.067,
2006-01,0.066,
2006-04,0.059,
2006-07,0.058,
2006-10,0.059,
2007-01,0.060,
2007-04,0.057,
2007-07,0.054,
2007-10,0.010,
2008-01,0.009,
2008-04,0.007,
2008-07,0.010,
2008-10,0.017,
2009-01,0.017,
2009-04,0.019,
2009-07,0.019,
2009-10,0.012,
2010-01,0.011,
2010-04,0.010,
2010-07,0.021,
2010-10,0.023,
2011-01,0.020,
2011-04,0.025,
2011-07,0.024,
2011-10,0.025,
2012-01,0.023,
2012-04,0.023,
2012-07,0.021,
2012-10,0.021,
2013-01,0.042,
2013-04,0.042,
2013-07,0.114,
2013-10,0.113,
2014-01,0.112,
2014-04,0.112,
2014-07,0.110,
