"",BBFB1.Q.N.DE.BE.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.BE.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:57,
1991-01,-2.154,
1991-04,-0.037,
1991-07,15.665,
1991-10,0.436,
1992-01,3.444,
1992-04,-4.409,
1992-07,-0.994,
1992-10,7.310,
1993-01,46.465,
1993-04,-3.029,
1993-07,1.382,
1993-10,2.781,
1994-01,-20.459,
1994-04,-75.232,
1994-07,2.070,
1994-10,39.107,
1995-01,13.415,
1995-04,13.521,
1995-07,43.949,
1995-10,121.250,
1996-01,313.597,
1996-04,46.396,
1996-07,57.393,
1996-10,118.288,
1997-01,394.561,
1997-04,84.794,
1997-07,-5.138,
1997-10,-74.796,
1998-01,379.507,
1998-04,160.939,
1998-07,336.365,
1998-10,-27.942,
1999-01,93.616,
1999-04,-33.945,
1999-07,90.118,
1999-10,58.210,
2000-01,-25.256,
2000-04,-24.492,
2000-07,183.854,
2000-10,-92.690,
2001-01,-6.811,
2001-04,446.651,
2001-07,53.196,
2001-10,-365.350,
2002-01,-310.934,
2002-04,-84.383,
2002-07,-21.397,
2002-10,-168.281,
2003-01,-82.905,
2003-04,39.839,
2003-07,-94.751,
2003-10,-365.445,
2004-01,-229.884,
2004-04,-21.810,
2004-07,-79.269,
2004-10,-32.814,
2005-01,-196.254,
2005-04,-85.341,
2005-07,-10.754,
2005-10,144.878,
2006-01,-345.846,
2006-04,82.657,
2006-07,-164.452,
2006-10,3272.703,
2007-01,-267.422,
2007-04,-115.440,
2007-07,226.382,
2007-10,483.133,
2008-01,289.420,
2008-04,2070.019,
2008-07,-120.934,
2008-10,730.243,
2009-01,742.203,
2009-04,1031.528,
2009-07,-468.801,
2009-10,229.246,
2010-01,-37.922,
2010-04,635.505,
2010-07,-513.361,
2010-10,-53.062,
2011-01,149.167,
2011-04,2451.153,
2011-07,-442.081,
2011-10,229.323,
2012-01,-44.625,
2012-04,-200.577,
2012-07,77.577,
2012-10,621.957,
2013-01,152.683,
2013-04,-82.846,
2013-07,-257.613,
2013-10,33.770,
2014-01,-134.388,Provisional value
2014-04,-167.828,Provisional value
2014-07,-197.183,Provisional value
2014-10,54.674,Provisional value
