"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.12324.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.12324.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / OFIs and Financial auxiliaries,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:51,
2009-09,12982,
2009-10,12928,
2009-11,12934,
2009-12,12535,
2010-01,12372,
2010-02,12407,
2010-03,12656,
2010-04,12506,
2010-05,12507,
2010-06,12564,
2010-07,12473,
2010-08,12712,
2010-09,13058,
2010-10,13242,
2010-11,13100,
2010-12,12995,
2011-01,13472,
2011-02,13504,
2011-03,13364,
2011-04,13321,
2011-05,13363,
2011-06,13200,
2011-07,12969,
2011-08,12110,
2011-09,11142,
2011-10,11280,
2011-11,10883,
2011-12,10660,
2012-01,11147,
2012-02,11546,
2012-03,11606,
2012-04,11654,
2012-05,11776,
2012-06,11666,
2012-07,11955,
2012-08,12213,
2012-09,12614,
2012-10,12610,
2012-11,12970,
2012-12,13040,
2013-01,13365,
2013-02,13567,
2013-03,13640,
2013-04,13500,
2013-05,13784,
2013-06,13226,
2013-07,13580,
2013-08,13610,
2013-09,13796,
2013-10,13910,
2013-11,14652,
2013-12,14219,
2014-01,14227,
2014-02,14539,
2014-03,14736,
2014-04,14826,
2014-05,15003,
2014-06,15550,
2014-07,15417,
2014-08,15260,
2014-09,14754,
2014-10,14963,
2014-11,15418,
