"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.JP.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.JP.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Japan,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:54,
2009-09,3708,
2009-10,3462,
2009-11,3490,
2009-12,3712,
2010-01,3923,
2010-02,4004,
2010-03,4013,
2010-04,4047,
2010-05,4042,
2010-06,3969,
2010-07,3888,
2010-08,3883,
2010-09,3858,
2010-10,3846,
2010-11,4268,
2010-12,4595,
2011-01,4320,
2011-02,4501,
2011-03,3532,
2011-04,3217,
2011-05,3238,
2011-06,3326,
2011-07,3541,
2011-08,3027,
2011-09,3031,
2011-10,2963,
2011-11,2985,
2011-12,3062,
2012-01,3094,
2012-02,3137,
2012-03,3160,
2012-04,3227,
2012-05,3206,
2012-06,3240,
2012-07,3298,
2012-08,3255,
2012-09,3251,
2012-10,3387,
2012-11,3396,
2012-12,3407,
2013-01,3558,
2013-02,3851,
2013-03,4411,
2013-04,4760,
2013-05,4582,
2013-06,4725,
2013-07,4883,
2013-08,4812,
2013-09,5175,
2013-10,5204,
2013-11,5109,
2013-12,5576,
2014-01,5715,
2014-02,5645,
2014-03,5670,
2014-04,5630,
2014-05,6173,
2014-06,6462,
2014-07,7100,
2014-08,7204,
2014-09,7507,
2014-10,7527,
2014-11,7687,
