"",BBK01.OEAF12Q,BBK01.OEAF12Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:26,
2002-01,1.787,
2002-04,1.766,
2002-07,1.742,
2002-10,1.679,
2003-01,1.573,
2003-04,1.588,
2003-07,1.655,
2003-10,1.570,
2004-01,1.485,
2004-04,1.350,
2004-07,1.351,
2004-10,1.335,
2005-01,1.302,
2005-04,1.266,
2005-07,1.283,
2005-10,1.290,
2006-01,1.255,
2006-04,1.214,
2006-07,1.195,
2006-10,1.200,
2007-01,1.167,
2007-04,1.172,
2007-07,1.125,
2007-10,1.157,
2008-01,1.098,
2008-04,1.108,
2008-07,1.095,
2008-10,1.162,
2009-01,1.049,
2009-04,1.016,
2009-07,1.017,
2009-10,0.980,
2010-01,0.998,
2010-04,0.982,
2010-07,0.985,
2010-10,0.947,
2011-01,0.937,
2011-04,0.932,
2011-07,0.923,
2011-10,0.868,
2012-01,0.857,
2012-04,0.851,
2012-07,0.857,
2012-10,0.845,
2013-01,0.817,
2013-04,0.840,
2013-07,0.853,
2013-10,0.833,
2014-01,0.824,
2014-04,0.822,
2014-07,0.803,
