"",BBK01.OEAD18I,BBK01.OEAD18I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:06,
2002-01,0.218,
2002-04,0.219,
2002-07,0.212,
2002-10,0.164,
2003-01,0.132,
2003-04,0.182,
2003-07,0.158,
2003-10,0.130,
2004-01,0.139,
2004-04,0.141,
2004-07,0.120,
2004-10,0.126,
2005-01,0.125,
2005-04,0.128,
2005-07,0.140,
2005-10,0.111,
2006-01,0.123,
2006-04,0.125,
2006-07,0.133,
2006-10,0.184,
2007-01,0.162,
2007-04,0.170,
2007-07,0.184,
2007-10,0.152,
2008-01,0.153,
2008-04,0.143,
2008-07,0.106,
2008-10,0.111,
2009-01,0.103,
2009-04,0.105,
2009-07,0.105,
2009-10,0.102,
2010-01,0.071,
2010-04,0.075,
2010-07,0.075,
2010-10,0.077,
2011-01,0.092,
2011-04,0.095,
2011-07,0.135,
2011-10,0.075,
2012-01,0.081,
2012-04,0.078,
2012-07,0.075,
2012-10,0.073,
2013-01,0.070,
2013-04,0.074,
2013-07,0.059,
2013-10,0.053,
2014-01,0.055,
2014-04,0.056,
2014-07,0.052,
