"",BBFB1.Q.N.DE.MX.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.MX.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:09,
1991-01,-0.080,
1991-04,-0.034,
1991-07,-0.009,
1991-10,-0.006,
1992-01,-0.042,
1992-04,0.013,
1992-07,-0.161,
1992-10,-0.018,
1993-01,-0.222,
1993-04,-0.179,
1993-07,-0.479,
1993-10,-0.011,
1994-01,0.040,
1994-04,-0.021,
1994-07,0.000,
1994-10,-0.010,
1995-01,-0.004,
1995-04,-0.049,
1995-07,0.009,
1995-10,-0.044,
1996-01,-0.031,
1996-04,-,Nothing exists
1996-07,0.162,
1996-10,0.020,
1997-01,-,Nothing exists
1997-04,-0.012,
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-0.016,
1998-04,-0.015,
1998-07,-0.003,
1998-10,-0.009,
1999-01,-0.046,
1999-04,0.366,
1999-07,-0.348,
1999-10,-0.082,
2000-01,-0.394,
2000-04,-0.011,
2000-07,-,Nothing exists
2000-10,-0.026,
2001-01,-0.033,
2001-04,-,Nothing exists
2001-07,-0.020,
2001-10,-,Nothing exists
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-0.012,
2002-10,-0.040,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-0.025,
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-0.028,
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,-0.014,
2005-10,-,Nothing exists
2006-01,-0.074,
2006-04,0.468,
2006-07,1.865,
2006-10,4.246,
2007-01,-0.020,
2007-04,1.738,
2007-07,6.736,
2007-10,-0.020,
2008-01,0.043,
2008-04,0.036,
2008-07,0.043,
2008-10,-,Nothing exists
2009-01,11.805,
2009-04,12.570,
2009-07,7.951,
2009-10,-0.039,
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,-,Nothing exists
2010-10,0.300,
2011-01,-,Nothing exists
2011-04,-,Nothing exists
2011-07,-0.014,
2011-10,-,Nothing exists
2012-01,-,Nothing exists
2012-04,-,Nothing exists
2012-07,0.000,
2012-10,-,Nothing exists
2013-01,20.245,
2013-04,-15.000,
2013-07,21.107,
2013-10,114.957,
2014-01,-33.000,Provisional value
2014-04,-3.028,Provisional value
2014-07,3.000,Provisional value
2014-10,65.000,Provisional value
