"",BBK01.OEBB09R,BBK01.OEBB09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:27,
2002-01,3.446,
2002-04,3.482,
2002-07,3.570,
2002-10,3.635,
2003-01,3.360,
2003-04,3.318,
2003-07,3.311,
2003-10,3.322,
2004-01,3.325,
2004-04,3.325,
2004-07,3.344,
2004-10,3.351,
2005-01,3.350,
2005-04,3.358,
2005-07,3.357,
2005-10,3.334,
2006-01,3.316,
2006-04,3.358,
2006-07,3.330,
2006-10,3.424,
2007-01,3.469,
2007-04,3.514,
2007-07,3.497,
2007-10,3.631,
2008-01,8.517,
2008-04,4.004,
2008-07,4.033,
2008-10,4.309,
2009-01,4.359,
2009-04,4.467,
2009-07,4.495,
2009-10,4.766,
2010-01,4.903,
2010-04,5.031,
2010-07,5.129,
2010-10,5.225,
2011-01,5.398,
2011-04,5.492,
2011-07,5.545,
2011-10,5.784,
2012-01,5.917,
2012-04,6.041,
2012-07,6.166,
2012-10,6.321,
2013-01,6.474,
2013-04,6.565,
2013-07,6.621,
2013-10,6.809,
2014-01,6.922,
2014-04,6.846,
2014-07,6.843,
