"",BBK01.OEAD40O,BBK01.OEAD40O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:55,
2002-01,0.761,
2002-04,0.781,
2002-07,0.752,
2002-10,0.732,
2003-01,0.723,
2003-04,0.713,
2003-07,0.677,
2003-10,0.699,
2004-01,0.690,
2004-04,0.691,
2004-07,0.689,
2004-10,0.677,
2005-01,0.673,
2005-04,0.673,
2005-07,0.673,
2005-10,0.644,
2006-01,0.644,
2006-04,0.619,
2006-07,0.611,
2006-10,0.603,
2007-01,0.608,
2007-04,0.740,
2007-07,0.646,
2007-10,0.642,
2008-01,0.640,
2008-04,0.654,
2008-07,0.665,
2008-10,0.786,
2009-01,0.833,
2009-04,0.646,
2009-07,0.644,
2009-10,0.636,
2010-01,0.593,
2010-04,0.737,
2010-07,0.765,
2010-10,0.748,
2011-01,0.714,
2011-04,0.711,
2011-07,0.682,
2011-10,0.683,
2012-01,0.655,
2012-04,0.656,
2012-07,0.669,
2012-10,0.642,
2013-01,0.637,
2013-04,0.568,
2013-07,0.671,
2013-10,0.695,
2014-01,0.697,
2014-04,0.700,
2014-07,0.664,
