"",BBK01.XSC191,BBK01.XSC191_FLAGS
"","Imports / Volume / Total, excluding energy / Seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:27,
1995-01,20.72,
1995-02,23.00,
1995-03,22.93,
1995-04,21.95,
1995-05,22.22,
1995-06,23.53,
1995-07,23.00,
1995-08,21.48,
1995-09,24.01,
1995-10,22.72,
1995-11,22.62,
1995-12,23.24,
1996-01,24.32,
1996-02,22.55,
1996-03,23.54,
1996-04,23.56,
1996-05,22.97,
1996-06,23.80,
1996-07,23.60,
1996-08,23.08,
1996-09,24.47,
1996-10,24.37,
1996-11,24.76,
1996-12,24.62,
1997-01,26.25,
1997-02,25.26,
1997-03,25.45,
1997-04,25.09,
1997-05,26.29,
1997-06,26.24,
1997-07,27.46,
1997-08,25.87,
1997-09,27.40,
1997-10,27.16,
1997-11,27.62,
1997-12,26.74,
1998-01,30.52,
1998-02,28.81,
1998-03,27.99,
1998-04,29.93,
1998-05,26.84,
1998-06,30.29,
1998-07,29.67,
1998-08,28.92,
1998-09,28.50,
1998-10,30.26,
1998-11,28.27,
1998-12,30.18,
1999-01,30.50,
1999-02,30.17,
1999-03,30.58,
1999-04,29.76,
1999-05,32.97,
1999-06,31.42,
1999-07,33.01,
1999-08,32.10,
1999-09,32.05,
1999-10,32.22,
1999-11,33.22,
1999-12,31.76,
2000-01,35.20,
2000-02,32.93,
2000-03,34.99,
2000-04,33.77,
2000-05,35.23,
2000-06,35.21,
2000-07,35.94,
2000-08,36.83,
2000-09,34.97,
2000-10,37.02,
2000-11,36.61,
2000-12,37.38,
2001-01,36.21,
2001-02,37.32,
2001-03,35.09,
2001-04,36.43,
2001-05,35.61,
2001-06,36.77,
2001-07,36.78,
2001-08,36.14,
2001-09,35.73,
2001-10,36.00,
2001-11,36.02,
2001-12,34.83,
2002-01,32.98,
2002-02,35.45,
2002-03,35.62,
2002-04,36.05,
2002-05,33.57,
2002-06,37.92,
2002-07,35.44,
2002-08,38.02,
2002-09,37.02,
2002-10,36.73,
2002-11,37.36,
2002-12,37.24,
2003-01,39.36,
2003-02,38.21,
2003-03,39.65,
2003-04,37.73,
2003-05,36.72,
2003-06,39.69,
2003-07,38.32,
2003-08,39.80,
2003-09,40.08,
2003-10,40.45,
2003-11,41.68,
2003-12,42.51,
2004-01,41.90,
2004-02,42.83,
2004-03,40.41,
2004-04,42.32,
2004-05,43.10,
2004-06,41.13,
2004-07,43.76,
2004-08,43.40,
2004-09,43.80,
2004-10,44.08,
2004-11,46.49,
2004-12,44.36,
2005-01,45.06,
2005-02,43.18,
2005-03,42.62,
2005-04,45.59,
2005-05,47.17,
2005-06,44.90,
2005-07,46.31,
2005-08,47.19,
2005-09,46.57,
2005-10,47.58,
2005-11,48.55,
2005-12,49.64,
2006-01,48.94,
2006-02,50.47,
2006-03,51.31,
2006-04,51.75,
2006-05,51.39,
2006-06,53.19,
2006-07,53.07,
2006-08,51.50,
2006-09,53.94,
2006-10,55.07,
2006-11,54.73,
2006-12,55.23,
2007-01,53.32,
2007-02,56.63,
2007-03,54.38,
2007-04,55.70,
2007-05,52.83,
2007-06,54.91,
2007-07,54.46,
2007-08,56.84,
2007-09,55.53,
2007-10,56.15,
2007-11,54.33,
2007-12,56.05,
2008-01,57.59,
2008-02,56.20,
2008-03,56.27,
2008-04,55.11,
2008-05,55.99,
2008-06,55.14,
2008-07,57.28,
2008-08,55.41,
2008-09,56.93,
2008-10,56.72,
2008-11,52.60,
2008-12,51.39,
