"",BBK01.OEBL07H,BBK01.OEBL07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:52,
2002-01,12.981,
2002-04,11.936,
2002-07,11.951,
2002-10,12.474,
2003-01,13.294,
2003-04,13.855,
2003-07,15.334,
2003-10,16.021,
2004-01,16.531,
2004-04,17.299,
2004-07,17.979,
2004-10,18.745,
2005-01,25.249,
2005-04,25.707,
2005-07,25.692,
2005-10,25.643,
2006-01,25.078,
2006-04,24.382,
2006-07,23.231,
2006-10,22.720,
2007-01,22.677,
2007-04,22.384,
2007-07,21.771,
2007-10,22.076,
2008-01,21.860,
2008-04,21.874,
2008-07,21.324,
2008-10,22.595,
2009-01,24.557,
2009-04,25.534,
2009-07,26.417,
2009-10,26.672,
2010-01,26.668,
2010-04,26.463,
2010-07,26.742,
2010-10,28.090,
2011-01,28.665,
2011-04,27.980,
2011-07,27.695,
2011-10,28.672,
2012-01,30.120,
2012-04,29.602,
2012-07,29.532,
2012-10,29.809,
2013-01,29.353,
2013-04,28.456,
2013-07,27.607,
2013-10,27.084,
2014-01,26.351,
2014-04,25.994,
2014-07,26.389,
