"",BBK01.OELJ06N,BBK01.OELJ06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:53,
2002-01,1.595,
2002-04,1.591,
2002-07,1.583,
2002-10,1.504,
2003-01,1.524,
2003-04,1.543,
2003-07,1.527,
2003-10,1.549,
2004-01,1.570,
2004-04,1.535,
2004-07,1.541,
2004-10,1.535,
2005-01,1.551,
2005-04,1.561,
2005-07,1.561,
2005-10,1.468,
2006-01,1.462,
2006-04,1.471,
2006-07,1.420,
2006-10,1.398,
2007-01,1.314,
2007-04,1.290,
2007-07,1.296,
2007-10,1.227,
2008-01,1.199,
2008-04,1.215,
2008-07,1.200,
2008-10,1.155,
2009-01,1.076,
2009-04,1.103,
2009-07,1.134,
2009-10,1.104,
2010-01,1.082,
2010-04,1.050,
2010-07,1.036,
2010-10,1.016,
2011-01,0.986,
2011-04,0.964,
2011-07,0.975,
2011-10,0.960,
2012-01,0.890,
2012-04,0.868,
2012-07,0.831,
2012-10,0.839,
2013-01,0.821,
2013-04,0.758,
2013-07,0.749,
2013-10,0.736,
2014-01,0.697,
2014-04,0.697,
2014-07,0.690,
