"",BBK01.OEYI04Q,BBK01.OEYI04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:57,
2002-01,1.559,
2002-04,1.443,
2002-07,0.950,
2002-10,1.431,
2003-01,1.078,
2003-04,0.715,
2003-07,0.429,
2003-10,0.386,
2004-01,0.532,
2004-04,0.792,
2004-07,0.215,
2004-10,5.224,
2005-01,4.018,
2005-04,3.944,
2005-07,4.227,
2005-10,4.072,
2006-01,3.592,
2006-04,4.369,
2006-07,3.630,
2006-10,3.658,
2007-01,4.023,
2007-04,5.098,
2007-07,6.424,
2007-10,9.475,
2008-01,10.154,
2008-04,14.929,
2008-07,15.704,
2008-10,14.001,
2009-01,15.823,
2009-04,14.063,
2009-07,13.909,
2009-10,13.368,
2010-01,13.885,
2010-04,19.116,
2010-07,20.222,
2010-10,18.167,
2011-01,10.752,
2011-04,10.932,
2011-07,11.687,
2011-10,11.890,
2012-01,11.424,
2012-04,14.305,
2012-07,15.318,
2012-10,15.864,
2013-01,12.225,
2013-04,13.070,
2013-07,12.058,
2013-10,12.139,
2014-01,13.048,
2014-04,13.677,
2014-07,13.077,
