"",BBK01.OEAI01P,BBK01.OEAI01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:07,
2002-01,19.759,
2002-04,19.521,
2002-07,19.555,
2002-10,19.905,
2003-01,20.352,
2003-04,20.527,
2003-07,20.637,
2003-10,21.653,
2004-01,21.178,
2004-04,21.105,
2004-07,21.157,
2004-10,22.089,
2005-01,22.435,
2005-04,22.510,
2005-07,22.615,
2005-10,22.900,
2006-01,22.818,
2006-04,22.585,
2006-07,22.625,
2006-10,23.326,
2007-01,23.280,
2007-04,23.541,
2007-07,23.999,
2007-10,24.657,
2008-01,24.485,
2008-04,24.418,
2008-07,24.461,
2008-10,25.573,
2009-01,25.389,
2009-04,25.312,
2009-07,25.619,
2009-10,26.245,
2010-01,26.172,
2010-04,26.445,
2010-07,26.552,
2010-10,27.650,
2011-01,27.548,
2011-04,27.892,
2011-07,28.788,
2011-10,29.764,
2012-01,29.197,
2012-04,29.679,
2012-07,29.830,
2012-10,30.362,
2013-01,30.047,
2013-04,29.065,
2013-07,28.365,
2013-10,28.353,
2014-01,28.090,
2014-04,28.025,
2014-07,27.950,
