"",BBDE1.M.DE.Y.AEM1.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.AEM1.A2P310000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, total / At current prices, flows / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:50,
2010-01,88.9,
2010-02,91.9,
2010-03,95.5,
2010-04,98.7,
2010-05,99.1,
2010-06,100.1,
2010-07,102.9,
2010-08,102.2,
2010-09,102.9,
2010-10,103.8,
2010-11,104.6,
2010-12,106.0,
2011-01,111.7,
2011-02,110.9,
2011-03,111.8,
2011-04,111.0,
2011-05,108.8,
2011-06,109.3,
2011-07,111.3,
2011-08,110.8,
2011-09,106.9,
2011-10,105.7,
2011-11,103.7,
2011-12,105.3,
2012-01,107.3,
2012-02,105.6,
2012-03,105.5,
2012-04,106.1,
2012-05,106.7,
2012-06,103.9,
2012-07,103.7,
2012-08,104.1,
2012-09,101.6,
2012-10,103.3,
2012-11,102.5,
2012-12,103.0,
2013-01,102.5,
2013-02,102.5,
2013-03,104.5,
2013-04,102.6,
2013-05,102.5,
2013-06,101.6,
2013-07,102.6,
2013-08,102.2,
2013-09,103.6,
2013-10,105.9,
2013-11,104.1,
2013-12,103.7,
2014-01,105.1,
2014-02,106.1,
2014-03,102.9,
2014-04,104.4,
2014-05,101.3,
2014-06,103.4,
2014-07,104.3,
2014-08,102.5,
2014-09,102.9,
2014-10,104.0,
2014-11,103.9,
2014-12,106.4,Provisional value
