"",BBSF2.M.1.P.00000.SON01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.P.00000.SON01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Public funds / Other funds / Deposits and loan claims / Germany / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:09,
2009-09,28,
2009-10,26,
2009-11,356,
2009-12,314,
2010-01,56,
2010-02,61,
2010-03,65,
2010-04,76,
2010-05,86,
2010-06,202,
2010-07,231,
2010-08,156,
2010-09,264,
2010-10,158,
2010-11,376,
2010-12,152,
2011-01,225,
2011-02,312,
2011-03,315,
2011-04,306,
2011-05,270,
2011-06,264,
2011-07,183,
2011-08,129,
2011-09,133,
2011-10,110,
2011-11,564,
2011-12,126,
2012-01,103,
2012-02,102,
2012-03,149,
2012-04,122,
2012-05,121,
2012-06,184,
2012-07,280,
2012-08,78,
2012-09,195,
2012-10,195,
2012-11,1060,
2012-12,72,
2013-01,67,
2013-02,67,
2013-03,64,
2013-04,75,
2013-05,73,
2013-06,71,
2013-07,71,
2013-08,77,
2013-09,111,
2013-10,165,
2013-11,83,
2013-12,83,
2014-01,98,
2014-02,89,
2014-03,118,
2014-04,96,
2014-05,90,
2014-06,98,
2014-07,113,
2014-08,123,
2014-09,114,
2014-10,144,
2014-11,122,
