"",BBDE1.M.DE.Y.AEA1.N2C280000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.N2C280000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / 28 Manufacture of machinery and equipment n.e.c. / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:29,
1991-01,61.9,
1991-02,59.6,
1991-03,60.5,
1991-04,60.8,
1991-05,57.6,
1991-06,62.0,
1991-07,59.9,
1991-08,63.6,
1991-09,58.6,
1991-10,61.4,
1991-11,62.6,
1991-12,63.7,
1992-01,61.6,
1992-02,60.5,
1992-03,61.5,
1992-04,59.6,
1992-05,59.7,
1992-06,58.1,
1992-07,55.8,
1992-08,57.7,
1992-09,58.3,
1992-10,53.0,
1992-11,54.6,
1992-12,56.0,
1993-01,54.0,
1993-02,55.0,
1993-03,52.7,
1993-04,53.9,
1993-05,53.8,
1993-06,52.9,
1993-07,53.6,
1993-08,51.9,
1993-09,55.8,
1993-10,55.2,
1993-11,57.8,
1993-12,57.2,
1994-01,53.0,
1994-02,54.8,
1994-03,56.9,
1994-04,58.6,
1994-05,58.7,
1994-06,62.2,
1994-07,59.7,
1994-08,57.8,
1994-09,61.9,
1994-10,68.1,
1994-11,63.1,
1994-12,65.0,
1995-01,60.2,
1995-02,63.0,
1995-03,62.7,
1995-04,60.7,
1995-05,63.3,
1995-06,60.2,
1995-07,62.4,
1995-08,61.6,
1995-09,63.3,
1995-10,59.3,
1995-11,58.3,
1995-12,60.8,
1996-01,57.2,
1996-02,59.0,
1996-03,60.5,
1996-04,60.1,
1996-05,59.2,
1996-06,59.2,
1996-07,60.3,
1996-08,59.2,
1996-09,61.7,
1996-10,61.9,
1996-11,60.6,
1996-12,58.8,
1997-01,61.0,
1997-02,60.9,
1997-03,62.7,
1997-04,65.0,
1997-05,61.8,
1997-06,65.2,
1997-07,67.4,
1997-08,66.2,
1997-09,71.5,
1997-10,67.0,
1997-11,68.7,
1997-12,65.7,
1998-01,69.4,
1998-02,67.6,
1998-03,69.7,
1998-04,67.9,
1998-05,68.5,
1998-06,70.4,
1998-07,67.0,
1998-08,66.3,
1998-09,66.6,
1998-10,62.9,
1998-11,63.4,
