"",BBK01.OEYL01L,BBK01.OEYL01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:55,
2002-01,7.462,
2002-04,8.880,
2002-07,9.241,
2002-10,9.441,
2003-01,9.840,
2003-04,9.967,
2003-07,10.323,
2003-10,10.588,
2004-01,10.827,
2004-04,10.961,
2004-07,11.395,
2004-10,11.572,
2005-01,11.699,
2005-04,11.764,
2005-07,11.757,
2005-10,11.630,
2006-01,11.676,
2006-04,11.744,
2006-07,11.744,
2006-10,11.962,
2007-01,11.885,
2007-04,11.753,
2007-07,11.641,
2007-10,11.657,
2008-01,11.630,
2008-04,11.519,
2008-07,11.381,
2008-10,11.395,
2009-01,11.421,
2009-04,11.452,
2009-07,11.425,
2009-10,11.882,
2010-01,12.062,
2010-04,12.332,
2010-07,12.297,
2010-10,12.640,
2011-01,9.398,
2011-04,9.548,
2011-07,9.737,
2011-10,9.914,
2012-01,10.089,
2012-04,10.254,
2012-07,10.395,
2012-10,10.746,
2013-01,11.048,
2013-04,11.261,
2013-07,11.402,
2013-10,11.863,
2014-01,12.075,
2014-04,12.230,
2014-07,12.385,
