"",BBK01.OECB06U,BBK01.OECB06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:12,
2002-01,0.589,
2002-04,0.579,
2002-07,0.561,
2002-10,0.590,
2003-01,0.526,
2003-04,0.511,
2003-07,0.508,
2003-10,0.570,
2004-01,0.528,
2004-04,0.468,
2004-07,0.459,
2004-10,0.468,
2005-01,0.515,
2005-04,0.525,
2005-07,0.563,
2005-10,0.531,
2006-01,0.524,
2006-04,0.507,
2006-07,0.514,
2006-10,0.521,
2007-01,0.531,
2007-04,0.505,
2007-07,0.510,
2007-10,0.517,
2008-01,0.561,
2008-04,0.549,
2008-07,0.538,
2008-10,0.527,
2009-01,0.528,
2009-04,0.479,
2009-07,0.491,
2009-10,0.399,
2010-01,0.408,
2010-04,0.405,
2010-07,0.394,
2010-10,0.353,
2011-01,0.412,
2011-04,0.425,
2011-07,0.422,
2011-10,0.424,
2012-01,0.473,
2012-04,0.424,
2012-07,0.417,
2012-10,0.389,
2013-01,0.434,
2013-04,0.417,
2013-07,0.428,
2013-10,0.416,
2014-01,0.444,
2014-04,0.473,
2014-07,0.435,
