"",BBSF2.M.1.P.00000.TOT01.I.F.INV.U3.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.U3.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / EU member states not belonging to the Euro area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:15,
2009-09,595,
2009-10,612,
2009-11,636,
2009-12,693,
2010-01,686,
2010-02,722,
2010-03,822,
2010-04,852,
2010-05,786,
2010-06,774,
2010-07,789,
2010-08,857,
2010-09,926,
2010-10,1020,
2010-11,1082,
2010-12,1224,
2011-01,1162,
2011-02,1080,
2011-03,959,
2011-04,1000,
2011-05,961,
2011-06,972,
2011-07,1035,
2011-08,790,
2011-09,734,
2011-10,767,
2011-11,733,
2011-12,729,
2012-01,852,
2012-02,894,
2012-03,930,
2012-04,915,
2012-05,857,
2012-06,864,
2012-07,941,
2012-08,983,
2012-09,1049,
2012-10,1063,
2012-11,1075,
2012-12,1061,
2013-01,1044,
2013-02,1075,
2013-03,1156,
2013-04,1109,
2013-05,1151,
2013-06,959,
2013-07,1027,
2013-08,987,
2013-09,1027,
2013-10,1082,
2013-11,1080,
2013-12,1116,
2014-01,1065,
2014-02,1056,
2014-03,1014,
2014-04,1023,
2014-05,1057,
2014-06,1061,
2014-07,1039,
2014-08,1043,
2014-09,1084,
2014-10,1073,
2014-11,1135,
