"",BBFN1.M.DE.N.1.L.W03100.S1P.F0.S.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.F0.S.N000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign non-banks arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:05,
1995-01,2.312,
1995-02,2.218,
1995-03,2.387,
1995-04,2.444,
1995-05,2.464,
1995-06,2.482,
1995-07,2.485,
1995-08,2.561,
1995-09,2.359,
1995-10,2.394,
1995-11,2.209,
1995-12,2.860,
1996-01,2.421,
1996-02,2.297,
1996-03,2.296,
1996-04,2.506,
1996-05,2.565,
1996-06,2.748,
1996-07,2.655,
1996-08,2.609,
1996-09,2.878,
1996-10,2.803,
1996-11,2.855,
1996-12,3.648,
1997-01,3.580,
1997-02,3.630,
1997-03,3.401,
1997-04,3.270,
1997-05,3.391,
1997-06,3.858,
1997-07,3.475,
1997-08,3.692,
1997-09,3.801,
1997-10,3.670,
1997-11,3.531,
1997-12,3.904,
1998-01,3.854,
1998-02,4.047,
1998-03,4.031,
1998-04,4.124,
1998-05,4.111,
1998-06,5.801,
1998-07,5.660,
1998-08,5.726,
1998-09,5.651,
1998-10,5.523,
1998-11,5.374,
1998-12,5.973,
1999-01,6.002,
1999-02,6.009,
1999-03,5.835,
1999-04,5.775,
1999-05,5.986,
1999-06,5.991,
1999-07,5.754,
1999-08,5.871,
1999-09,5.839,
1999-10,9.891,
1999-11,5.447,
1999-12,5.273,
2000-01,5.428,
2000-02,5.413,
2000-03,5.577,
2000-04,5.493,
2000-05,5.632,
2000-06,6.226,
2000-07,6.925,
2000-08,7.728,
2000-09,8.111,
2000-10,8.367,
2000-11,8.142,
2000-12,8.275,
2001-01,7.562,
2001-02,7.872,
2001-03,8.242,
2001-04,8.063,
2001-05,8.393,
2001-06,10.404,
2001-07,10.445,
2001-08,10.287,
2001-09,10.737,
2001-10,11.091,
2001-11,7.438,
2001-12,7.413,
2002-01,6.871,
2002-02,6.987,
2002-03,7.065,
2002-04,7.239,
2002-05,7.125,
2002-06,7.642,
2002-07,7.631,
2002-08,7.537,
2002-09,7.872,
2002-10,7.074,
2002-11,7.459,
2002-12,8.182,
2003-01,9.251,
2003-02,9.081,
2003-03,9.731,
2003-04,9.072,
2003-05,8.816,
2003-06,8.957,
2003-07,8.390,
2003-08,8.208,
2003-09,7.928,
2003-10,7.754,
2003-11,8.472,
2003-12,8.360,
2004-01,8.097,
2004-02,8.829,
2004-03,9.151,
2004-04,9.143,
2004-05,6.054,
2004-06,6.452,
2004-07,6.391,
2004-08,5.852,
2004-09,5.928,
2004-10,6.064,
2004-11,6.015,
2004-12,6.194,
2005-01,6.056,
2005-02,5.665,
2005-03,5.494,
2005-04,5.734,
2005-05,5.840,
2005-06,5.857,
2005-07,5.809,
2005-08,6.029,
2005-09,6.476,
2005-10,6.398,
2005-11,6.707,
2005-12,6.821,
2006-01,6.634,
2006-02,6.767,
2006-03,6.475,
2006-04,6.987,
2006-05,7.147,
2006-06,7.428,
2006-07,7.093,
2006-08,6.836,
2006-09,7.720,
2006-10,7.710,
2006-11,7.832,
2006-12,8.662,
2007-01,7.540,
2007-02,8.159,
2007-03,9.148,
2007-04,10.499,
2007-05,9.205,
2007-06,9.820,
2007-07,9.600,
2007-08,10.256,
2007-09,10.260,
2007-10,10.164,
2007-11,10.756,
2007-12,9.983,
2008-01,7.074,
2008-02,7.101,
2008-03,7.368,
2008-04,7.646,
2008-05,7.848,
2008-06,7.909,
2008-07,7.687,
2008-08,8.048,
2008-09,8.614,
2008-10,9.278,
2008-11,9.235,
2008-12,9.507,
2009-01,8.874,
2009-02,8.522,
2009-03,9.270,
2009-04,9.429,
2009-05,9.342,
2009-06,9.400,
2009-07,9.251,
2009-08,9.286,
2009-09,10.053,
2009-10,9.903,
2009-11,10.011,
2009-12,13.980,
2010-01,8.997,
2010-02,9.073,
2010-03,9.488,
2010-04,9.127,
2010-05,8.902,
2010-06,9.261,
2010-07,9.190,
2010-08,9.474,
2010-09,9.777,
2010-10,10.022,
2010-11,10.437,
2010-12,10.791,
2011-01,10.730,
2011-02,10.722,
2011-03,11.461,
2011-04,11.350,
2011-05,10.470,
2011-06,10.628,
2011-07,10.706,
2011-08,10.604,
2011-09,10.898,
2011-10,11.667,
2011-11,12.156,
2011-12,12.572,
2012-01,12.234,
2012-02,11.943,
2012-03,12.158,
2012-04,12.229,
2012-05,12.093,
2012-06,12.547,
2012-07,12.839,
2012-08,12.939,
2012-09,13.620,
2012-10,13.226,
2012-11,13.386,
2012-12,13.216,
2013-01,12.933,
2013-02,13.006,
2013-03,13.475,
2013-04,12.909,
2013-05,12.439,
2013-06,12.197,
2013-07,11.823,
2013-08,12.680,
2013-09,12.758,
2013-10,12.438,
2013-11,11.644,
2013-12,13.578,
2014-01,13.640,
2014-02,13.100,
2014-03,12.974,
2014-04,11.447,
2014-05,11.589,
2014-06,11.500,
2014-07,11.509,
2014-08,11.732,
2014-09,12.269,
2014-10,12.472,
2014-11,12.439,
2014-12,13.460,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
