"",BBK01.OEAD40J,BBK01.OEAD40J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:31,
2002-01,0.143,
2002-04,0.139,
2002-07,0.168,
2002-10,0.178,
2003-01,0.177,
2003-04,0.180,
2003-07,0.166,
2003-10,0.166,
2004-01,0.157,
2004-04,0.168,
2004-07,0.155,
2004-10,0.137,
2005-01,0.137,
2005-04,0.141,
2005-07,0.134,
2005-10,0.132,
2006-01,0.126,
2006-04,0.134,
2006-07,0.142,
2006-10,0.125,
2007-01,0.130,
2007-04,0.153,
2007-07,0.161,
2007-10,0.183,
2008-01,0.188,
2008-04,0.195,
2008-07,0.216,
2008-10,0.209,
2009-01,0.207,
2009-04,0.207,
2009-07,0.195,
2009-10,0.202,
2010-01,0.141,
2010-04,0.233,
2010-07,0.239,
2010-10,0.247,
2011-01,0.255,
2011-04,0.239,
2011-07,0.210,
2011-10,0.227,
2012-01,0.220,
2012-04,0.229,
2012-07,0.223,
2012-10,0.205,
2013-01,0.181,
2013-04,0.196,
2013-07,0.198,
2013-10,0.232,
2014-01,0.235,
2014-04,0.215,
2014-07,0.189,
