"",BBK01.OEAH66S,BBK01.OEAH66S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:28,
2002-01,1.124,
2002-04,1.160,
2002-07,1.172,
2002-10,1.178,
2003-01,1.163,
2003-04,1.157,
2003-07,1.146,
2003-10,1.162,
2004-01,1.174,
2004-04,1.188,
2004-07,1.174,
2004-10,1.187,
2005-01,1.156,
2005-04,1.151,
2005-07,1.109,
2005-10,1.089,
2006-01,1.060,
2006-04,1.049,
2006-07,1.049,
2006-10,1.024,
2007-01,0.978,
2007-04,0.953,
2007-07,0.946,
2007-10,0.928,
2008-01,0.907,
2008-04,0.885,
2008-07,0.881,
2008-10,0.878,
2009-01,0.844,
2009-04,0.832,
2009-07,0.798,
2009-10,0.810,
2010-01,0.820,
2010-04,0.786,
2010-07,0.777,
2010-10,0.757,
2011-01,0.758,
2011-04,0.782,
2011-07,0.769,
2011-10,0.797,
2012-01,0.797,
2012-04,0.787,
2012-07,0.772,
2012-10,0.721,
2013-01,0.697,
2013-04,0.678,
2013-07,0.659,
2013-10,0.639,
2014-01,0.614,
2014-04,0.596,
2014-07,0.576,
