"",BBK01.OEXB14N,BBK01.OEXB14N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:01,
2002-01,1.376,
2002-04,1.374,
2002-07,1.409,
2002-10,1.385,
2003-01,1.262,
2003-04,1.199,
2003-07,1.186,
2003-10,1.160,
2004-01,1.086,
2004-04,1.050,
2004-07,1.042,
2004-10,0.747,
2005-01,0.775,
2005-04,0.730,
2005-07,0.731,
2005-10,0.736,
2006-01,0.741,
2006-04,0.748,
2006-07,0.731,
2006-10,0.714,
2007-01,0.740,
2007-04,0.739,
2007-07,0.722,
2007-10,0.877,
2008-01,0.697,
2008-04,0.696,
2008-07,0.775,
2008-10,0.803,
2009-01,0.932,
2009-04,0.922,
2009-07,0.880,
2009-10,0.942,
2010-01,0.908,
2010-04,0.984,
2010-07,0.981,
2010-10,0.946,
2011-01,0.936,
2011-04,0.944,
2011-07,0.892,
2011-10,0.916,
2012-01,0.883,
2012-04,0.885,
2012-07,0.894,
2012-10,0.867,
2013-01,0.858,
2013-04,0.936,
2013-07,0.927,
2013-10,1.007,
2014-01,0.952,
2014-04,0.940,
2014-07,0.925,
