"",BBK01.OEHI06P,BBK01.OEHI06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:59,
2002-01,1.046,
2002-04,1.098,
2002-07,1.081,
2002-10,0.934,
2003-01,0.915,
2003-04,0.910,
2003-07,0.959,
2003-10,1.182,
2004-01,1.167,
2004-04,1.165,
2004-07,1.187,
2004-10,1.194,
2005-01,1.180,
2005-04,1.162,
2005-07,1.107,
2005-10,1.014,
2006-01,0.964,
2006-04,0.923,
2006-07,0.896,
2006-10,0.891,
2007-01,0.907,
2007-04,0.913,
2007-07,0.903,
2007-10,0.840,
2008-01,0.847,
2008-04,0.861,
2008-07,0.867,
2008-10,0.818,
2009-01,0.794,
2009-04,0.752,
2009-07,0.699,
2009-10,0.659,
2010-01,0.623,
2010-04,0.570,
2010-07,0.498,
2010-10,0.438,
2011-01,0.441,
2011-04,0.439,
2011-07,0.421,
2011-10,0.379,
2012-01,0.366,
2012-04,0.346,
2012-07,0.337,
2012-10,0.337,
2013-01,0.330,
2013-04,0.315,
2013-07,0.315,
2013-10,0.341,
2014-01,0.340,
2014-04,0.341,
2014-07,0.342,
