"",BBK01.OEXO03G,BBK01.OEXO03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:36,
2002-01,2.037,
2002-04,1.901,
2002-07,1.850,
2002-10,1.734,
2003-01,2.101,
2003-04,2.267,
2003-07,2.179,
2003-10,2.036,
2004-01,2.332,
2004-04,2.095,
2004-07,1.915,
2004-10,2.049,
2005-01,0.977,
2005-04,0.896,
2005-07,0.834,
2005-10,0.826,
2006-01,0.909,
2006-04,0.808,
2006-07,0.746,
2006-10,0.864,
2007-01,1.052,
2007-04,0.882,
2007-07,0.870,
2007-10,0.952,
2008-01,1.208,
2008-04,1.102,
2008-07,1.122,
2008-10,1.499,
2009-01,1.241,
2009-04,1.022,
2009-07,0.937,
2009-10,1.397,
2010-01,1.250,
2010-04,0.755,
2010-07,0.732,
2010-10,0.861,
2011-01,0.960,
2011-04,0.869,
2011-07,0.711,
2011-10,0.870,
2012-01,0.967,
2012-04,0.653,
2012-07,0.709,
2012-10,0.825,
2013-01,0.892,
2013-04,0.759,
2013-07,0.500,
2013-10,0.480,
2014-01,0.513,
2014-04,0.444,
2014-07,0.645,
