"",BBK01.OEHB08U,BBK01.OEHB08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:33,
2002-01,6.941,
2002-04,7.032,
2002-07,7.091,
2002-10,7.292,
2003-01,7.322,
2003-04,7.345,
2003-07,7.351,
2003-10,7.412,
2004-01,7.380,
2004-04,7.419,
2004-07,7.433,
2004-10,7.558,
2005-01,7.456,
2005-04,7.483,
2005-07,7.501,
2005-10,7.552,
2006-01,7.493,
2006-04,7.562,
2006-07,7.603,
2006-10,7.562,
2007-01,7.478,
2007-04,7.458,
2007-07,7.404,
2007-10,7.380,
2008-01,7.334,
2008-04,7.370,
2008-07,7.422,
2008-10,7.467,
2009-01,7.440,
2009-04,7.522,
2009-07,7.603,
2009-10,7.663,
2010-01,7.662,
2010-04,7.749,
2010-07,7.830,
2010-10,7.880,
2011-01,7.856,
2011-04,7.922,
2011-07,7.984,
2011-10,8.067,
2012-01,8.086,
2012-04,8.185,
2012-07,8.258,
2012-10,8.319,
2013-01,8.299,
2013-04,8.425,
2013-07,8.570,
2013-10,8.714,
2014-01,8.795,
2014-04,8.933,
2014-07,9.042,
