"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.AU.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.AU.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Australia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:51,
2009-09,4208,
2009-10,4274,
2009-11,4698,
2009-12,4777,
2010-01,4773,
2010-02,4936,
2010-03,5301,
2010-04,5422,
2010-05,5275,
2010-06,5103,
2010-07,5278,
2010-08,5352,
2010-09,5666,
2010-10,5725,
2010-11,5713,
2010-12,5709,
2011-01,5456,
2011-02,5507,
2011-03,5693,
2011-04,5853,
2011-05,5890,
2011-06,5957,
2011-07,6061,
2011-08,6037,
2011-09,5921,
2011-10,6049,
2011-11,6166,
2011-12,6278,
2012-01,7022,
2012-02,7241,
2012-03,7411,
2012-04,7569,
2012-05,7829,
2012-06,7791,
2012-07,8423,
2012-08,8586,
2012-09,8784,
2012-10,8845,
2012-11,8816,
2012-12,9154,
2013-01,8951,
2013-02,9217,
2013-03,9461,
2013-04,9827,
2013-05,9515,
2013-06,9177,
2013-07,9448,
2013-08,9326,
2013-09,9676,
2013-10,10089,
2013-11,10017,
2013-12,9994,
2014-01,10465,
2014-02,10539,
2014-03,11026,
2014-04,11280,
2014-05,11507,
2014-06,11662,
2014-07,11779,
2014-08,12093,
2014-09,12138,
2014-10,12676,
2014-11,12560,
