"",BBK01.OEAC38P,BBK01.OEAC38P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:47,
2002-01,0.068,
2002-04,0.081,
2002-07,0.082,
2002-10,0.069,
2003-01,0.066,
2003-04,0.066,
2003-07,0.069,
2003-10,0.068,
2004-01,0.064,
2004-04,0.063,
2004-07,0.060,
2004-10,0.112,
2005-01,0.125,
2005-04,0.132,
2005-07,0.107,
2005-10,0.106,
2006-01,0.105,
2006-04,0.096,
2006-07,0.101,
2006-10,0.091,
2007-01,0.084,
2007-04,0.076,
2007-07,0.085,
2007-10,0.093,
2008-01,0.084,
2008-04,0.083,
2008-07,0.052,
2008-10,0.034,
2009-01,0.070,
2009-04,0.047,
2009-07,0.045,
2009-10,0.079,
2010-01,0.066,
2010-04,0.090,
2010-07,0.095,
2010-10,0.093,
2011-01,0.110,
2011-04,0.108,
2011-07,0.126,
2011-10,0.111,
2012-01,0.114,
2012-04,0.114,
2012-07,0.099,
2012-10,0.091,
2013-01,0.092,
2013-04,0.095,
2013-07,0.100,
2013-10,0.112,
2014-01,0.115,
2014-04,0.110,
2014-07,0.108,
