"",BBK01.OEAC14P,BBK01.OEAC14P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:05,
2002-01,3.346,
2002-04,3.370,
2002-07,3.362,
2002-10,3.394,
2003-01,3.337,
2003-04,3.353,
2003-07,3.393,
2003-10,3.432,
2004-01,3.406,
2004-04,3.385,
2004-07,3.361,
2004-10,3.359,
2005-01,3.335,
2005-04,3.342,
2005-07,3.326,
2005-10,3.291,
2006-01,3.291,
2006-04,3.294,
2006-07,3.277,
2006-10,3.312,
2007-01,3.308,
2007-04,3.308,
2007-07,3.299,
2007-10,3.367,
2008-01,3.364,
2008-04,3.375,
2008-07,3.391,
2008-10,3.378,
2009-01,3.342,
2009-04,3.384,
2009-07,3.418,
2009-10,3.434,
2010-01,3.447,
2010-04,3.464,
2010-07,3.413,
2010-10,3.405,
2011-01,3.348,
2011-04,3.349,
2011-07,3.329,
2011-10,3.320,
2012-01,3.292,
2012-04,3.640,
2012-07,3.656,
2012-10,3.664,
2013-01,3.643,
2013-04,3.636,
2013-07,3.484,
2013-10,3.523,
2014-01,3.491,
2014-04,3.461,
2014-07,3.472,
