"",BBK01.OEAN07N,BBK01.OEAN07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:04,
2002-01,4.182,
2002-04,4.142,
2002-07,4.159,
2002-10,4.278,
2003-01,3.878,
2003-04,3.922,
2003-07,3.919,
2003-10,3.985,
2004-01,3.629,
2004-04,3.665,
2004-07,3.724,
2004-10,3.404,
2005-01,3.223,
2005-04,3.314,
2005-07,3.310,
2005-10,3.291,
2006-01,3.116,
2006-04,3.124,
2006-07,3.101,
2006-10,3.130,
2007-01,2.814,
2007-04,2.818,
2007-07,2.795,
2007-10,2.878,
2008-01,2.673,
2008-04,2.734,
2008-07,2.770,
2008-10,2.821,
2009-01,2.769,
2009-04,2.940,
2009-07,2.885,
2009-10,3.000,
2010-01,2.946,
2010-04,3.046,
2010-07,3.122,
2010-10,3.128,
2011-01,3.019,
2011-04,2.973,
2011-07,3.016,
2011-10,2.996,
2012-01,2.948,
2012-04,2.971,
2012-07,3.085,
2012-10,3.041,
2013-01,3.050,
2013-04,3.077,
2013-07,3.152,
2013-10,3.119,
2014-01,3.103,
2014-04,3.119,
2014-07,3.214,
