"",BBK01.OEBO01K,BBK01.OEBO01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:31,
2002-01,2.842,
2002-04,2.794,
2002-07,2.433,
2002-10,2.435,
2003-01,2.557,
2003-04,2.629,
2003-07,2.583,
2003-10,2.633,
2004-01,2.627,
2004-04,2.566,
2004-07,2.512,
2004-10,2.656,
2005-01,3.923,
2005-04,3.903,
2005-07,4.032,
2005-10,3.992,
2006-01,3.915,
2006-04,3.810,
2006-07,3.812,
2006-10,3.742,
2007-01,3.765,
2007-04,3.975,
2007-07,3.992,
2007-10,3.986,
2008-01,4.150,
2008-04,4.272,
2008-07,4.371,
2008-10,4.367,
2009-01,4.955,
2009-04,5.103,
2009-07,5.299,
2009-10,5.678,
2010-01,5.536,
2010-04,5.481,
2010-07,5.405,
2010-10,5.522,
2011-01,5.741,
2011-04,5.763,
2011-07,5.566,
2011-10,5.466,
2012-01,5.414,
2012-04,5.610,
2012-07,5.539,
2012-10,5.813,
2013-01,5.828,
2013-04,5.496,
2013-07,5.386,
2013-10,5.267,
2014-01,5.265,
2014-04,5.170,
2014-07,5.080,
