"",BBK01.OEHI03O,BBK01.OEHI03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:40,
2002-01,3.764,
2002-04,3.757,
2002-07,3.785,
2002-10,3.837,
2003-01,3.670,
2003-04,3.586,
2003-07,3.613,
2003-10,3.614,
2004-01,3.458,
2004-04,3.392,
2004-07,3.334,
2004-10,3.225,
2005-01,3.160,
2005-04,3.112,
2005-07,3.167,
2005-10,3.200,
2006-01,3.224,
2006-04,3.379,
2006-07,3.554,
2006-10,3.639,
2007-01,3.691,
2007-04,3.821,
2007-07,4.106,
2007-10,4.478,
2008-01,4.472,
2008-04,4.759,
2008-07,5.057,
2008-10,6.051,
2009-01,4.614,
2009-04,3.818,
2009-07,3.225,
2009-10,2.996,
2010-01,2.536,
2010-04,2.347,
2010-07,2.347,
2010-10,2.449,
2011-01,2.364,
2011-04,2.590,
2011-07,2.826,
2011-10,2.876,
2012-01,2.642,
2012-04,2.636,
2012-07,2.311,
2012-10,2.268,
2013-01,1.768,
2013-04,1.750,
2013-07,1.638,
2013-10,1.719,
2014-01,1.417,
2014-04,1.488,
2014-07,1.493,
