"",BBSF2.M.1.T.00000.DAK01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.DAK01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:27,
2009-09,1436,
2009-10,1390,
2009-11,1446,
2009-12,1502,
2010-01,1386,
2010-02,1398,
2010-03,1507,
2010-04,1479,
2010-05,1445,
2010-06,1092,
2010-07,1089,
2010-08,1205,
2010-09,1239,
2010-10,1251,
2010-11,1289,
2010-12,1377,
2011-01,1318,
2011-02,1300,
2011-03,1288,
2011-04,1289,
2011-05,1274,
2011-06,1254,
2011-07,1265,
2011-08,1092,
2011-09,1056,
2011-10,1128,
2011-11,1090,
2011-12,1125,
2012-01,1192,
2012-02,1226,
2012-03,1237,
2012-04,1240,
2012-05,1198,
2012-06,1215,
2012-07,1327,
2012-08,1347,
2012-09,1378,
2012-10,1378,
2012-11,1395,
2012-12,1418,
2013-01,1431,
2013-02,1421,
2013-03,1482,
2013-04,1480,
2013-05,1474,
2013-06,1404,
2013-07,1462,
2013-08,1442,
2013-09,1419,
2013-10,1461,
2013-11,1490,
2013-12,1506,
2014-01,1459,
2014-02,1505,
2014-03,1514,
2014-04,1481,
2014-05,1554,
2014-06,1568,
2014-07,1566,
2014-08,1561,
2014-09,1576,
2014-10,1579,
2014-11,1657,
