"",BBK01.OEAN05J,BBK01.OEAN05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:54,
2002-01,1.176,
2002-04,1.119,
2002-07,1.108,
2002-10,1.160,
2003-01,1.151,
2003-04,1.183,
2003-07,1.086,
2003-10,0.887,
2004-01,0.888,
2004-04,0.837,
2004-07,0.834,
2004-10,0.810,
2005-01,0.822,
2005-04,0.800,
2005-07,0.812,
2005-10,0.787,
2006-01,0.766,
2006-04,0.751,
2006-07,0.746,
2006-10,0.742,
2007-01,0.717,
2007-04,0.710,
2007-07,0.678,
2007-10,0.702,
2008-01,0.824,
2008-04,0.800,
2008-07,0.760,
2008-10,0.812,
2009-01,0.937,
2009-04,0.964,
2009-07,0.946,
2009-10,1.010,
2010-01,1.009,
2010-04,1.019,
2010-07,1.043,
2010-10,1.074,
2011-01,1.071,
2011-04,1.093,
2011-07,1.079,
2011-10,1.118,
2012-01,1.097,
2012-04,1.109,
2012-07,1.131,
2012-10,1.181,
2013-01,1.235,
2013-04,1.267,
2013-07,1.283,
2013-10,1.327,
2014-01,1.243,
2014-04,1.257,
2014-07,1.387,
