"",BBFN1.M.DE.N.1.A.BR.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BR.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Brazil,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:27,
1982-09,0.202,
1982-10,0.203,
1982-11,0.196,
1982-12,0.191,
1983-01,0.199,
1983-02,0.204,
1983-03,0.199,
1983-04,0.201,
1983-05,0.202,
1983-06,0.203,
1983-07,0.205,
1983-08,0.226,
1983-09,0.226,
1983-10,0.264,
1983-11,0.260,
1983-12,0.221,
1984-01,0.235,
1984-02,0.241,
1984-03,0.236,
1984-04,0.235,
1984-05,0.246,
1984-06,0.248,
1984-07,0.250,
1984-08,0.249,
1984-09,0.247,
1984-10,0.247,
1984-11,0.237,
1984-12,0.237,
1985-01,0.229,
1985-02,0.227,
1985-03,0.222,
1985-04,0.221,
1985-05,0.227,
1985-06,0.230,
1985-07,0.230,
1985-08,0.238,
1985-09,0.237,
1985-10,0.238,
1985-11,0.238,
1985-12,0.220,
1986-01,0.220,
1986-02,0.216,
1986-03,0.217,
1986-04,0.212,
1986-05,0.212,
1986-06,0.213,
1986-07,0.215,
1986-08,0.214,
1986-09,0.203,
1986-10,0.205,
1986-11,0.216,
1986-12,0.208,
1987-01,0.189,
1987-02,0.208,
1987-03,0.208,
1987-04,0.214,
1987-05,0.219,
1987-06,0.209,
1987-07,0.207,
1987-08,0.193,
1987-09,0.189,
1987-10,0.191,
1987-11,0.191,
1987-12,0.188,
1988-01,0.188,
1988-02,0.181,
1988-03,0.177,
1988-04,0.178,
1988-05,0.176,
1988-06,0.176,
1988-07,0.173,
1988-08,0.162,
1988-09,0.159,
1988-10,0.156,
1988-11,0.156,
1988-12,0.157,
1989-01,0.151,
1989-02,0.146,
1989-03,0.148,
1989-04,0.132,
1989-05,0.145,
1989-06,0.145,
1989-07,0.146,
1989-08,0.149,
1989-09,0.153,
1989-10,0.162,
1989-11,0.159,
