"",BBK01.OELI09Q,BBK01.OELI09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:19,
2002-01,1.519,
2002-04,1.487,
2002-07,1.615,
2002-10,1.626,
2003-01,1.529,
2003-04,1.531,
2003-07,1.636,
2003-10,1.645,
2004-01,1.589,
2004-04,1.538,
2004-07,1.524,
2004-10,1.365,
2005-01,1.370,
2005-04,1.348,
2005-07,1.201,
2005-10,0.942,
2006-01,0.893,
2006-04,0.861,
2006-07,0.846,
2006-10,0.835,
2007-01,0.772,
2007-04,0.754,
2007-07,0.569,
2007-10,0.540,
2008-01,0.520,
2008-04,0.479,
2008-07,0.442,
2008-10,0.419,
2009-01,0.447,
2009-04,0.496,
2009-07,0.577,
2009-10,0.667,
2010-01,0.744,
2010-04,0.828,
2010-07,0.682,
2010-10,0.589,
2011-01,0.436,
2011-04,0.393,
2011-07,0.387,
2011-10,0.336,
2012-01,0.390,
2012-04,0.403,
2012-07,0.455,
2012-10,0.480,
2013-01,0.500,
2013-04,0.512,
2013-07,0.487,
2013-10,0.497,
2014-01,0.512,
2014-04,0.529,
2014-07,0.528,
