"",BBK01.OEYB11I,BBK01.OEYB11I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:41,
2002-01,1.515,
2002-04,1.509,
2002-07,1.294,
2002-10,1.295,
2003-01,1.264,
2003-04,1.255,
2003-07,1.321,
2003-10,1.155,
2004-01,1.088,
2004-04,1.050,
2004-07,1.109,
2004-10,1.138,
2005-01,1.088,
2005-04,1.036,
2005-07,1.031,
2005-10,1.037,
2006-01,1.164,
2006-04,1.202,
2006-07,1.355,
2006-10,1.094,
2007-01,1.192,
2007-04,1.120,
2007-07,1.124,
2007-10,1.225,
2008-01,1.318,
2008-04,1.475,
2008-07,1.740,
2008-10,2.573,
2009-01,2.568,
2009-04,3.190,
2009-07,3.803,
2009-10,3.985,
2010-01,4.319,
2010-04,4.419,
2010-07,3.929,
2010-10,4.547,
2011-01,5.261,
2011-04,5.086,
2011-07,5.266,
2011-10,5.847,
2012-01,5.980,
2012-04,6.348,
2012-07,6.137,
2012-10,6.591,
2013-01,6.495,
2013-04,6.565,
2013-07,5.392,
2013-10,5.381,
2014-01,6.106,
2014-04,6.479,
2014-07,6.648,
