"",BBK01.OEAA29K,BBK01.OEAA29K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:04,
2002-01,19.428,
2002-04,19.224,
2002-07,19.675,
2002-10,19.655,
2003-01,18.999,
2003-04,17.277,
2003-07,17.131,
2003-10,16.760,
2004-01,15.671,
2004-04,17.707,
2004-07,17.483,
2004-10,17.315,
2005-01,17.163,
2005-04,16.786,
2005-07,16.816,
2005-10,16.451,
2006-01,16.152,
2006-04,15.791,
2006-07,15.618,
2006-10,15.426,
2007-01,14.761,
2007-04,14.648,
2007-07,14.665,
2007-10,14.565,
2008-01,14.708,
2008-04,14.687,
2008-07,14.547,
2008-10,14.475,
2009-01,14.375,
2009-04,15.470,
2009-07,15.607,
2009-10,15.619,
2010-01,15.577,
2010-04,15.731,
2010-07,15.766,
2010-10,16.009,
2011-01,16.149,
2011-04,16.019,
2011-07,16.236,
2011-10,16.166,
2012-01,16.180,
2012-04,17.138,
2012-07,17.154,
2012-10,17.197,
2013-01,17.274,
2013-04,17.207,
2013-07,17.131,
2013-10,17.020,
2014-01,16.886,
2014-04,16.758,
2014-07,17.012,
