"",BBK01.OEAE17O,BBK01.OEAE17O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:55,
2002-01,0.082,
2002-04,0.337,
2002-07,0.326,
2002-10,0.069,
2003-01,0.083,
2003-04,0.143,
2003-07,0.158,
2003-10,0.150,
2004-01,0.151,
2004-04,0.161,
2004-07,0.177,
2004-10,0.206,
2005-01,0.240,
2005-04,0.270,
2005-07,0.253,
2005-10,0.145,
2006-01,0.150,
2006-04,0.165,
2006-07,0.179,
2006-10,0.210,
2007-01,0.179,
2007-04,0.214,
2007-07,0.149,
2007-10,0.068,
2008-01,0.119,
2008-04,0.162,
2008-07,0.100,
2008-10,0.085,
2009-01,0.087,
2009-04,0.042,
2009-07,0.035,
2009-10,0.034,
2010-01,0.037,
2010-04,0.045,
2010-07,0.036,
2010-10,0.034,
2011-01,0.034,
2011-04,0.035,
2011-07,0.039,
2011-10,0.035,
2012-01,0.037,
2012-04,0.037,
2012-07,0.036,
2012-10,0.033,
2013-01,0.033,
2013-04,0.034,
2013-07,0.032,
2013-10,0.032,
2014-01,0.033,
2014-04,0.031,
2014-07,0.027,
