"",BBEX3.M.ARS.EUR.CA.AB.A01,BBEX3.M.ARS.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Argentina / EUR 1 = ARS ... (selling),
unit,ARS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:43,
2002-02,1.8673,
2002-03,2.6193,
2002-04,2.6823,
2002-05,3.3487,
2002-06,3.7631,
2002-07,3.6205,
2002-08,3.5618,
2002-09,3.6914,
2002-10,3.4827,
2002-11,3.6167,
2002-12,3.5389,
2003-01,3.4440,
2003-02,3.4407,
2003-03,3.2145,
2003-04,3.1477,
2003-05,3.3587,
2003-06,3.2144,
2003-07,3.2792,
2003-08,3.2424,
2003-09,3.3951,
2003-10,3.3214,
2003-11,3.5853,
2003-12,3.6836,
2004-01,3.6489,
2004-02,3.6453,
2004-03,3.5161,
2004-04,3.4026,
2004-05,3.6079,
2004-06,3.5981,
2004-07,3.5802,
2004-08,3.6503,
2004-09,3.7051,
2004-10,3.7989,
2004-11,3.9101,
2004-12,4.0592,
2005-01,3.8161,
2005-02,3.8937,
2005-03,3.7839,
2005-04,3.7440,
2005-05,3.5484,
2005-06,3.4884,
2005-07,3.4718,
2005-08,3.5913,
2005-09,3.4981,
2005-10,3.6000,
2005-11,3.4948,
2005-12,3.5869,
2006-01,3.7347,
2006-02,3.6657,
2006-03,3.7363,
2006-04,3.8505,
2006-05,3.9590,
2006-06,3.9430,
2006-07,3.9239,
2006-08,3.9611,
2006-09,3.9371,
2006-10,3.9481,
2006-11,4.0669,
2006-12,4.0391,
2007-01,4.0413,
2007-02,4.0998,
2007-03,4.1453,
2007-04,4.2212,
2007-05,4.1373,
2007-06,4.1842,
2007-07,4.2723,
2007-08,4.3016,
2007-09,4.4928,
2007-10,4.5449,
2007-11,4.6225,
2007-12,4.6315,
2008-01,4.6798,
2008-02,4.8035,
2008-03,5.0089,
2008-04,4.9244,
2008-05,4.8214,
2008-06,4.7644,
2008-07,4.7453,
2008-08,4.4417,
2008-09,4.4116,
2008-10,4.3190,
2008-11,4.2780,
2008-12,4.7907,
2009-01,4.4685,
2009-02,4.5176,
2009-03,4.9275,
2009-04,4.9162,
2009-05,5.2917,
2009-06,5.3242,
2009-07,5.4623,
2009-08,5.5212,
2009-09,5.6277,
2009-10,5.6288,
2009-11,5.7104,
2009-12,5.4530,
2010-01,5.3237,
2010-02,5.2513,
2010-03,5.2477,
2010-04,5.1664,
2010-05,4.8335,
2010-06,4.8182,
2010-07,5.1429,
2010-08,5.0129,
2010-09,5.3927,
2010-10,5.5046,
2010-11,5.1940,
2010-12,5.2726,
2011-01,5.4886,
2011-02,5.5582,
2011-03,5.7530,
2011-04,6.0506,
2011-05,5.8790,
2011-06,5.9644,
2011-07,5.9589,
2011-08,6.0354,
2011-09,5.6570,
2011-10,5.9079,
2011-11,5.7554,
2011-12,5.5862,
2012-01,5.6676,
2012-02,5.8183,
2012-03,5.8390,
2012-04,5.8631,
2012-05,5.5338,
2012-06,5.7362,
2012-07,5.6510,
2012-08,5.8383,
2012-09,6.0474,
2012-10,6.1872,
2012-11,6.2967,
2012-12,6.5041,
2013-01,6.7641,
2013-02,6.6113,
2013-03,6.5500,
2013-04,6.8313,
2013-05,6.8602,
2013-06,7.0146,
2013-07,7.3222,
2013-08,7.5018,
2013-09,7.8466,
2013-10,8.0468,
2013-11,8.3616,
2013-12,9.0114,
2014-01,10.8303,
2014-02,10.8897,
2014-03,11.0284,
2014-04,11.1068,
2014-05,11.0340,
2014-06,11.1479,
2014-07,11.0087,
2014-08,11.0532,
2014-09,10.6572,
2014-10,10.6624,
2014-11,10.6124,
2014-12,10.4074,
2015-01,9.7738,
"","Source: Banco de la Nación Argentina, Buenos Aires.",
