"",BBK01.OEAH66J,BBK01.OEAH66J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:17,
2002-01,0.284,
2002-04,0.274,
2002-07,0.263,
2002-10,0.256,
2003-01,0.243,
2003-04,0.243,
2003-07,0.242,
2003-10,0.236,
2004-01,0.242,
2004-04,0.240,
2004-07,0.260,
2004-10,0.251,
2005-01,0.245,
2005-04,0.228,
2005-07,0.218,
2005-10,0.211,
2006-01,0.215,
2006-04,0.206,
2006-07,0.200,
2006-10,0.196,
2007-01,0.176,
2007-04,0.170,
2007-07,0.167,
2007-10,0.166,
2008-01,0.168,
2008-04,0.153,
2008-07,0.146,
2008-10,0.149,
2009-01,0.151,
2009-04,0.147,
2009-07,0.146,
2009-10,0.173,
2010-01,0.202,
2010-04,0.242,
2010-07,0.242,
2010-10,0.270,
2011-01,0.270,
2011-04,0.292,
2011-07,0.305,
2011-10,0.304,
2012-01,0.318,
2012-04,0.310,
2012-07,0.312,
2012-10,0.299,
2013-01,0.246,
2013-04,0.208,
2013-07,0.201,
2013-10,0.190,
2014-01,0.178,
2014-04,0.169,
2014-07,0.151,
