"",BBK01.OXA7D5,BBK01.OXA7D5_FLAGS
"","Other loans to domestic households, traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:33,
2009-12,3.486,
2010-01,3.445,
2010-02,3.396,
2010-03,3.357,
2010-04,3.319,
2010-05,3.279,
2010-06,3.227,
2010-07,3.183,
2010-08,3.146,
2010-09,3.115,
2010-10,3.083,
2010-11,3.024,
2010-12,2.940,
2011-01,2.836,
2011-02,2.788,
2011-03,2.751,
2011-04,2.727,
2011-05,2.683,
2011-06,2.642,
2011-07,2.615,
2011-08,2.578,
2011-09,2.536,
2011-10,2.499,
2011-11,2.437,
2011-12,2.499,
2012-01,2.471,
2012-02,2.376,
2012-03,2.323,
2012-04,2.170,
2012-05,2.114,
2012-06,2.078,
2012-07,2.025,
2012-08,1.979,
2012-09,1.937,
2012-10,1.873,
2012-11,1.836,
2012-12,1.797,
2013-01,1.757,
2013-02,1.958,
2013-03,1.917,
2013-04,1.867,
2013-05,1.823,
2013-06,1.797,
2013-07,1.736,
2013-08,1.698,
2013-09,1.657,
2013-10,1.615,
2013-11,1.576,
2013-12,1.529,
2014-01,1.506,
2014-02,1.441,
2014-03,1.409,
2014-04,1.193,
2014-05,1.167,
2014-06,1.146,
2014-07,1.117,
2014-08,1.099,
2014-09,1.076,
2014-10,1.059,
2014-11,1.049,
2014-12,0.980,Provisional value
