"",BBK01.XS8882,BBK01.XS8882_FLAGS
"","Exports / Product Classification for Production Statistics from 2002 / 30-33 Computer, electronic and optical products / Seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:11,
1995-01,4.62,
1995-02,4.79,
1995-03,4.70,
1995-04,4.58,
1995-05,4.94,
1995-06,5.05,
1995-07,4.82,
1995-08,4.85,
1995-09,4.96,
1995-10,5.11,
1995-11,4.95,
1995-12,5.59,
1996-01,5.15,
1996-02,5.23,
1996-03,5.14,
1996-04,5.01,
1996-05,5.03,
1996-06,4.95,
1996-07,5.12,
1996-08,5.01,
1996-09,4.90,
1996-10,5.50,
1996-11,5.32,
1996-12,5.49,
1997-01,5.54,
1997-02,5.57,
1997-03,5.80,
1997-04,5.58,
1997-05,5.99,
1997-06,6.03,
1997-07,5.95,
1997-08,6.03,
1997-09,6.27,
1997-10,6.20,
1997-11,5.90,
1997-12,6.45,
1998-01,6.27,
1998-02,6.44,
1998-03,6.21,
1998-04,6.75,
1998-05,6.53,
1998-06,6.55,
1998-07,6.64,
1998-08,6.54,
1998-09,6.12,
1998-10,6.28,
1998-11,6.19,
1998-12,6.44,
1999-01,6.08,
1999-02,6.70,
1999-03,6.28,
1999-04,6.81,
1999-05,6.60,
1999-06,6.90,
1999-07,7.15,
1999-08,6.91,
1999-09,7.06,
1999-10,7.12,
1999-11,7.62,
1999-12,7.45,
2000-01,7.92,
2000-02,8.03,
2000-03,8.47,
2000-04,8.38,
2000-05,8.80,
2000-06,9.13,
2000-07,9.04,
2000-08,9.05,
2000-09,9.50,
2000-10,9.93,
2000-11,9.74,
2000-12,9.65,
2001-01,9.61,
2001-02,9.43,
2001-03,9.34,
2001-04,9.47,
2001-05,9.84,
2001-06,9.20,
2001-07,9.28,
2001-08,9.28,
2001-09,8.35,
2001-10,9.02,
2001-11,8.55,
2001-12,9.25,
2002-01,8.62,
2002-02,9.00,
2002-03,9.07,
2002-04,9.21,
2002-05,9.15,
2002-06,9.47,
2002-07,9.01,
2002-08,9.36,
2002-09,9.35,
2002-10,9.04,
2002-11,9.62,
2002-12,9.21,
2003-01,9.39,
2003-02,9.33,
2003-03,9.23,
2003-04,8.96,
2003-05,9.18,
2003-06,9.04,
2003-07,9.20,
2003-08,9.79,
2003-09,9.67,
2003-10,9.31,
2003-11,9.60,
2003-12,9.85,
2004-01,10.25,
2004-02,10.32,
2004-03,10.43,
2004-04,10.35,
2004-05,10.72,
2004-06,10.62,
2004-07,11.11,
2004-08,10.44,
2004-09,10.72,
2004-10,10.43,
2004-11,11.18,
2004-12,10.74,
2005-01,10.94,
2005-02,10.64,
2005-03,10.79,
2005-04,10.63,
2005-05,11.00,
2005-06,11.41,
2005-07,11.44,
2005-08,12.04,
2005-09,11.52,
2005-10,11.64,
2005-11,11.43,
2005-12,11.95,
2006-01,12.03,
2006-02,12.01,
2006-03,11.90,
2006-04,12.43,
2006-05,11.92,
2006-06,11.94,
2006-07,11.89,
2006-08,12.36,
2006-09,13.11,
2006-10,13.22,
2006-11,13.28,
2006-12,12.62,
2007-01,12.27,
2007-02,12.81,
2007-03,12.64,
2007-04,12.78,
2007-05,12.71,
2007-06,12.71,
2007-07,12.81,
2007-08,13.44,
2007-09,13.08,
2007-10,12.95,
2007-11,12.91,
2007-12,12.88,
2008-01,12.64,
2008-02,12.54,
2008-03,12.46,
2008-04,12.69,
2008-05,12.05,
2008-06,12.26,
2008-07,12.46,
2008-08,12.38,
2008-09,12.08,
2008-10,12.46,
2008-11,10.99,
2008-12,10.89,
