"",BBDE1.M.DE.Y.AEN5.A2P320000.F.C.I10.A,BBDE1.M.DE.Y.AEN5.A2P320000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At constant prices / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:06,
2010-01,87.9,
2010-02,90.1,
2010-03,92.3,
2010-04,97.5,
2010-05,98.9,
2010-06,97.3,
2010-07,100.9,
2010-08,104.1,
2010-09,103.6,
2010-10,103.9,
2010-11,111.0,
2010-12,108.9,
2011-01,114.0,
2011-02,110.2,
2011-03,109.3,
2011-04,107.7,
2011-05,107.8,
2011-06,105.5,
2011-07,108.3,
2011-08,109.4,
2011-09,108.7,
2011-10,109.0,
2011-11,106.3,
2011-12,106.6,
2012-01,105.4,
2012-02,108.0,
2012-03,108.4,
2012-04,107.7,
2012-05,109.4,
2012-06,104.8,
2012-07,108.9,
2012-08,106.5,
2012-09,107.7,
2012-10,109.5,
2012-11,107.6,
2012-12,109.7,
2013-01,108.3,
2013-02,110.2,
2013-03,109.3,
2013-04,110.5,
2013-05,110.7,
2013-06,112.4,
2013-07,109.6,
2013-08,111.9,
2013-09,113.3,
2013-10,112.6,
2013-11,112.9,
2013-12,114.5,
2014-01,117.9,
2014-02,115.1,
2014-03,115.2,
2014-04,114.0,
2014-05,110.5,
2014-06,112.9,
2014-07,116.4,
2014-08,109.3,
2014-09,116.9,
2014-10,122.0,
2014-11,121.2,
2014-12,122.2,Provisional value
