"",BBK01.OEAB08K,BBK01.OEAB08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:00,
2002-01,100.561,
2002-04,100.932,
2002-07,105.271,
2002-10,103.777,
2003-01,101.545,
2003-04,95.586,
2003-07,96.538,
2003-10,96.033,
2004-01,98.607,
2004-04,107.274,
2004-07,107.353,
2004-10,108.321,
2005-01,107.836,
2005-04,109.349,
2005-07,109.692,
2005-10,110.346,
2006-01,110.849,
2006-04,110.701,
2006-07,109.901,
2006-10,108.106,
2007-01,104.384,
2007-04,103.984,
2007-07,101.852,
2007-10,100.241,
2008-01,102.955,
2008-04,103.519,
2008-07,104.503,
2008-10,104.765,
2009-01,103.737,
2009-04,106.521,
2009-07,105.856,
2009-10,102.030,
2010-01,101.760,
2010-04,103.973,
2010-07,104.987,
2010-10,106.447,
2011-01,105.157,
2011-04,104.713,
2011-07,109.323,
2011-10,110.266,
2012-01,109.058,
2012-04,109.692,
2012-07,109.244,
2012-10,106.261,
2013-01,105.240,
2013-04,105.104,
2013-07,104.369,
2013-10,98.771,
2014-01,97.991,
2014-04,97.976,
2014-07,98.656,
