"",BBK01.OEHB14T,BBK01.OEHB14T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:24,
2002-01,0.251,
2002-04,0.250,
2002-07,0.243,
2002-10,0.233,
2003-01,0.230,
2003-04,0.227,
2003-07,0.221,
2003-10,0.224,
2004-01,0.214,
2004-04,0.210,
2004-07,0.202,
2004-10,0.176,
2005-01,0.197,
2005-04,0.177,
2005-07,0.165,
2005-10,0.150,
2006-01,0.170,
2006-04,0.155,
2006-07,0.141,
2006-10,0.130,
2007-01,0.132,
2007-04,0.132,
2007-07,0.130,
2007-10,0.122,
2008-01,0.134,
2008-04,0.134,
2008-07,0.130,
2008-10,0.122,
2009-01,0.139,
2009-04,0.135,
2009-07,0.128,
2009-10,0.118,
2010-01,0.123,
2010-04,0.121,
2010-07,0.115,
2010-10,0.107,
2011-01,0.108,
2011-04,0.109,
2011-07,0.105,
2011-10,0.099,
2012-01,0.103,
2012-04,0.104,
2012-07,0.096,
2012-10,0.094,
2013-01,0.103,
2013-04,0.101,
2013-07,0.097,
2013-10,0.091,
2014-01,0.094,
2014-04,0.094,
2014-07,0.089,
