"",BBFN1.M.DE.N.1.L.PL.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PL.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Poland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:53,
1995-01,0.032,
1995-02,0.035,
1995-03,0.032,
1995-04,0.034,
1995-05,0.029,
1995-06,0.028,
1995-07,0.028,
1995-08,0.027,
1995-09,0.030,
1995-10,0.029,
1995-11,0.029,
1995-12,0.021,
1996-01,0.025,
1996-02,0.021,
1996-03,0.020,
1996-04,0.019,
1996-05,0.017,
1996-06,0.021,
1996-07,0.019,
1996-08,0.022,
1996-09,0.036,
1996-10,0.021,
1996-11,0.020,
1996-12,0.020,
1997-01,0.021,
1997-02,0.022,
1997-03,0.020,
1997-04,0.018,
1997-05,0.020,
1997-06,0.025,
1997-07,0.022,
1997-08,0.029,
1997-09,0.031,
1997-10,0.032,
1997-11,0.032,
1997-12,0.032,
1998-01,0.031,
1998-02,0.029,
1998-03,0.029,
1998-04,0.034,
1998-05,0.037,
1998-06,0.053,
1998-07,0.035,
1998-08,0.049,
1998-09,0.051,
1998-10,0.054,
1998-11,0.034,
1998-12,0.038,
1999-01,0.025,
1999-02,0.023,
1999-03,0.021,
1999-04,0.020,
1999-05,0.037,
1999-06,0.029,
1999-07,0.029,
1999-08,0.027,
1999-09,0.036,
1999-10,0.033,
1999-11,0.035,
1999-12,0.032,
2000-01,0.033,
2000-02,0.035,
2000-03,0.038,
2000-04,0.034,
2000-05,0.040,
2000-06,0.041,
2000-07,0.060,
2000-08,0.062,
2000-09,0.066,
2000-10,0.062,
2000-11,0.059,
2000-12,0.051,
2001-01,0.047,
2001-02,0.040,
2001-03,0.047,
2001-04,0.045,
2001-05,0.042,
2001-06,0.046,
2001-07,0.067,
2001-08,0.064,
2001-09,0.064,
2001-10,0.060,
2001-11,0.068,
2001-12,0.085,
2002-01,0.060,
2002-02,0.061,
2002-03,0.028,
2002-04,0.041,
2002-05,0.048,
2002-06,0.044,
2002-07,0.052,
2002-08,0.052,
2002-09,0.072,
2002-10,0.080,
2002-11,0.077,
2002-12,0.081,
2003-01,0.071,
2003-02,0.074,
2003-03,0.071,
2003-04,0.086,
2003-05,0.101,
2003-06,0.112,
2003-07,0.110,
2003-08,0.103,
2003-09,0.146,
2003-10,0.160,
2003-11,0.156,
2003-12,0.141,
2004-01,0.156,
2004-02,0.158,
2004-03,0.192,
2004-04,0.109,
2004-05,0.110,
2004-06,0.136,
2004-07,0.135,
2004-08,0.166,
2004-09,0.187,
2004-10,0.166,
2004-11,0.198,
2004-12,0.167,
2005-01,0.161,
2005-02,0.170,
2005-03,0.163,
2005-04,0.134,
2005-05,0.124,
2005-06,0.129,
2005-07,0.140,
2005-08,0.165,
2005-09,0.189,
2005-10,0.285,
2005-11,0.312,
2005-12,0.382,
2006-01,0.420,
2006-02,0.416,
2006-03,0.389,
2006-04,0.415,
2006-05,0.424,
2006-06,0.412,
2006-07,0.387,
2006-08,0.324,
2006-09,0.393,
2006-10,0.365,
2006-11,0.356,
2006-12,0.482,
2007-01,0.297,
2007-02,0.271,
2007-03,0.317,
2007-04,0.318,
2007-05,0.343,
2007-06,0.398,
2007-07,0.366,
2007-08,0.394,
2007-09,0.378,
2007-10,0.305,
2007-11,0.353,
2007-12,0.416,
2008-01,0.517,
2008-02,0.522,
2008-03,0.566,
2008-04,0.527,
2008-05,0.592,
2008-06,0.568,
2008-07,0.534,
2008-08,0.571,
2008-09,0.596,
2008-10,0.678,
2008-11,0.764,
2008-12,0.763,
2009-01,0.790,
2009-02,0.742,
2009-03,0.840,
2009-04,0.816,
2009-05,0.896,
2009-06,0.887,
2009-07,0.930,
2009-08,1.046,
2009-09,1.061,
2009-10,1.103,
2009-11,1.133,
2009-12,1.111,
2010-01,1.110,
2010-02,1.156,
2010-03,1.195,
2010-04,1.258,
2010-05,1.146,
2010-06,1.178,
2010-07,1.174,
2010-08,1.296,
2010-09,1.274,
2010-10,1.303,
2010-11,1.372,
2010-12,1.396,
2011-01,1.364,
2011-02,1.384,
2011-03,1.516,
2011-04,1.383,
2011-05,1.475,
2011-06,1.542,
2011-07,1.708,
2011-08,1.711,
2011-09,1.631,
2011-10,1.763,
2011-11,1.902,
2011-12,1.905,
2012-01,1.626,
2012-02,1.671,
2012-03,1.694,
2012-04,1.686,
2012-05,1.626,
2012-06,1.524,
2012-07,1.705,
2012-08,2.302,
2012-09,1.751,
2012-10,1.908,
2012-11,1.982,
2012-12,1.734,
2013-01,1.799,
2013-02,1.892,
2013-03,1.921,
2013-04,1.738,
2013-05,1.734,
2013-06,1.805,
2013-07,1.762,
2013-08,1.747,
2013-09,1.819,
2013-10,1.725,
2013-11,1.871,
2013-12,1.922,
2014-01,1.476,
2014-02,1.521,
2014-03,1.527,
2014-04,1.527,
2014-05,1.455,
2014-06,1.485,
2014-07,1.555,
2014-08,1.578,
2014-09,1.537,
2014-10,1.574,
2014-11,1.805,
2014-12,1.919,
