"",BBNZ1.H.DE.Y.K.0110.A,BBNZ1.H.DE.Y.K.0110.A_FLAGS
"",Germany / National accounts / Use of GDP / Exports of goods and services / Contribution of growth to GDP / Calendar and seasonally adjusted,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:59,
1991-01,.,No value available
1991-07,0.3,
1992-01,-0.2,
1992-07,-0.5,
1993-01,-1.1,
1993-07,0.0,
1994-01,1.4,
1994-07,0.4,
1995-01,1.0,
1995-07,0.4,
1996-01,0.5,
1996-07,1.2,
1997-01,1.3,
1997-07,1.9,
1998-01,1.0,
1998-07,-0.2,
1999-01,0.6,
1999-07,1.6,
2000-01,2.1,
2000-07,1.8,
2001-01,0.8,
2001-07,0.2,
2002-01,0.6,
2002-07,1.4,
2003-01,-0.8,
2003-07,1.4,
2004-01,2.6,
2004-07,0.3,
2005-01,1.2,
2005-07,2.2,
2006-01,2.2,
2006-07,3.0,
2007-01,1.7,
2007-07,1.5,
2008-01,0.7,
2008-07,-1.8,
2009-01,-6.2,
2009-07,1.8,
2010-01,3.2,
2010-07,2.6,
2011-01,1.7,
2011-07,0.8,
2012-01,1.0,
2012-07,0.3,
2013-01,0.2,
2013-07,1.0,
2014-01,0.5,
2014-07,1.5,
