"",BBK01.OEHB18K,BBK01.OEHB18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:43,
2002-01,0.482,
2002-04,0.586,
2002-07,0.470,
2002-10,0.498,
2003-01,0.475,
2003-04,0.456,
2003-07,0.460,
2003-10,0.432,
2004-01,0.413,
2004-04,0.402,
2004-07,0.443,
2004-10,0.400,
2005-01,0.393,
2005-04,0.396,
2005-07,0.412,
2005-10,0.408,
2006-01,0.355,
2006-04,0.363,
2006-07,0.358,
2006-10,0.351,
2007-01,0.337,
2007-04,0.314,
2007-07,0.318,
2007-10,0.325,
2008-01,0.309,
2008-04,0.304,
2008-07,0.304,
2008-10,0.314,
2009-01,0.299,
2009-04,0.287,
2009-07,0.268,
2009-10,0.254,
2010-01,0.251,
2010-04,0.257,
2010-07,0.323,
2010-10,0.258,
2011-01,0.238,
2011-04,0.232,
2011-07,0.249,
2011-10,0.221,
2012-01,0.217,
2012-04,0.301,
2012-07,0.221,
2012-10,0.207,
2013-01,0.237,
2013-04,0.301,
2013-07,0.242,
2013-10,0.262,
2014-01,0.232,
2014-04,0.378,
2014-07,0.228,
