"",BBK01.OEAF28H,BBK01.OEAF28H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:28,
2002-01,0.162,
2002-04,0.173,
2002-07,0.168,
2002-10,0.130,
2003-01,0.119,
2003-04,0.119,
2003-07,0.123,
2003-10,0.116,
2004-01,0.117,
2004-04,0.110,
2004-07,0.110,
2004-10,0.106,
2005-01,0.098,
2005-04,0.086,
2005-07,0.088,
2005-10,0.087,
2006-01,0.086,
2006-04,0.080,
2006-07,0.069,
2006-10,0.109,
2007-01,0.117,
2007-04,0.122,
2007-07,0.116,
2007-10,0.117,
2008-01,0.121,
2008-04,0.109,
2008-07,0.095,
2008-10,0.090,
2009-01,0.101,
2009-04,0.095,
2009-07,0.096,
2009-10,0.099,
2010-01,0.092,
2010-04,0.078,
2010-07,0.085,
2010-10,0.074,
2011-01,0.075,
2011-04,0.079,
2011-07,0.078,
2011-10,0.078,
2012-01,0.069,
2012-04,0.091,
2012-07,0.099,
2012-10,0.104,
2013-01,0.102,
2013-04,0.105,
2013-07,0.105,
2013-10,0.109,
2014-01,0.076,
2014-04,0.073,
2014-07,0.077,
