"",BBK01.OEHI09S,BBK01.OEHI09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:18,
2002-01,2.150,
2002-04,2.143,
2002-07,2.113,
2002-10,2.122,
2003-01,2.063,
2003-04,1.977,
2003-07,1.876,
2003-10,1.904,
2004-01,1.811,
2004-04,1.736,
2004-07,1.585,
2004-10,1.578,
2005-01,1.427,
2005-04,1.345,
2005-07,1.388,
2005-10,1.430,
2006-01,1.507,
2006-04,1.589,
2006-07,1.642,
2006-10,1.786,
2007-01,2.021,
2007-04,2.130,
2007-07,2.296,
2007-10,2.422,
2008-01,2.437,
2008-04,2.492,
2008-07,2.459,
2008-10,2.592,
2009-01,2.524,
2009-04,2.428,
2009-07,2.169,
2009-10,1.947,
2010-01,1.773,
2010-04,1.719,
2010-07,1.617,
2010-10,1.621,
2011-01,1.638,
2011-04,1.627,
2011-07,1.596,
2011-10,1.580,
2012-01,1.557,
2012-04,1.593,
2012-07,1.551,
2012-10,1.491,
2013-01,1.458,
2013-04,1.430,
2013-07,1.366,
2013-10,1.353,
2014-01,1.381,
2014-04,1.311,
2014-07,1.272,
