"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.CA.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.CA.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Canada,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:35,
2009-09,1863,
2009-10,1891,
2009-11,2174,
2009-12,2263,
2010-01,2161,
2010-02,2338,
2010-03,2381,
2010-04,2462,
2010-05,2506,
2010-06,2536,
2010-07,2466,
2010-08,2499,
2010-09,2502,
2010-10,2601,
2010-11,3086,
2010-12,3299,
2011-01,3098,
2011-02,3128,
2011-03,2916,
2011-04,2891,
2011-05,2923,
2011-06,2705,
2011-07,2809,
2011-08,2621,
2011-09,2424,
2011-10,2646,
2011-11,2597,
2011-12,2620,
2012-01,2819,
2012-02,2760,
2012-03,2570,
2012-04,2608,
2012-05,2566,
2012-06,2559,
2012-07,2798,
2012-08,2925,
2012-09,3037,
2012-10,2948,
2012-11,2591,
2012-12,2580,
2013-01,2610,
2013-02,2743,
2013-03,2727,
2013-04,2580,
2013-05,2623,
2013-06,2394,
2013-07,2592,
2013-08,2614,
2013-09,2658,
2013-10,2743,
2013-11,2656,
2013-12,2603,
2014-01,2552,
2014-02,2585,
2014-03,2640,
2014-04,2785,
2014-05,2897,
2014-06,3060,
2014-07,3210,
2014-08,3261,
2014-09,3204,
2014-10,3250,
2014-11,3351,
