"",BBK01.OEBB10K,BBK01.OEBB10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:11,
2002-01,7.910,
2002-04,7.969,
2002-07,7.454,
2002-10,7.136,
2003-01,6.742,
2003-04,6.842,
2003-07,7.298,
2003-10,6.867,
2004-01,6.316,
2004-04,6.271,
2004-07,6.625,
2004-10,5.972,
2005-01,5.983,
2005-04,5.894,
2005-07,5.874,
2005-10,7.173,
2006-01,6.157,
2006-04,6.766,
2006-07,7.259,
2006-10,7.455,
2007-01,7.108,
2007-04,6.919,
2007-07,7.559,
2007-10,7.342,
2008-01,7.951,
2008-04,8.325,
2008-07,8.048,
2008-10,7.393,
2009-01,7.112,
2009-04,7.063,
2009-07,6.643,
2009-10,6.451,
2010-01,6.707,
2010-04,6.549,
2010-07,6.148,
2010-10,5.962,
2011-01,6.113,
2011-04,5.939,
2011-07,6.270,
2011-10,5.828,
2012-01,6.283,
2012-04,6.766,
2012-07,6.924,
2012-10,6.862,
2013-01,6.821,
2013-04,6.812,
2013-07,7.039,
2013-10,6.755,
2014-01,6.959,
2014-04,7.112,
2014-07,6.635,
