"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA._T.F._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA._T.F._Z._T._X.N_FLAGS
"",IIP - Total external financial assets - Positions - all countries - all sectors - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:12,
1999-10,2506685,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,2925608,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,3227559,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,3191354,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,3367097,
2004-01,3495609,
2004-04,3498968,
2004-07,3590099,
2004-10,3641807,
2005-01,3851906,
2005-04,4053557,
2005-07,4168401,
2005-10,4251508,
2006-01,4440732,
2006-04,4474316,
2006-07,4609953,
2006-10,4742379,
2007-01,4926266,
2007-04,5105787,
2007-07,5193555,
2007-10,5214550,
2008-01,5259976,
2008-04,5277124,
2008-07,5380032,
2008-10,5098999,
2009-01,5055487,
2009-04,5165792,
2009-07,5194549,
2009-10,5243692,
2010-01,5422041,
2010-04,5652267,
2010-07,5661329,
2010-10,6540498,
2011-01,6365221,
2011-04,6396913,
2011-07,6913274,
2011-10,6849495,
2012-01,7092650,
2012-04,7348040,
2012-07,7403344,
2012-10,7280598,
2013-01,7253195,
2013-04,7071886,
2013-07,7011060,
2013-10,6916042,
2014-01,7014286,
2014-04,7228900,
2014-07,7477497,
