"",BBK01.OEBB24G,BBK01.OEBB24G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:41,
2002-01,15.777,
2002-04,15.853,
2002-07,15.937,
2002-10,14.167,
2003-01,13.533,
2003-04,13.095,
2003-07,12.762,
2003-10,11.564,
2004-01,11.337,
2004-04,11.169,
2004-07,9.226,
2004-10,8.883,
2005-01,1.853,
2005-04,1.591,
2005-07,0.941,
2005-10,0.855,
2006-01,0.857,
2006-04,0.821,
2006-07,0.802,
2006-10,0.805,
2007-01,0.826,
2007-04,0.737,
2007-07,0.748,
2007-10,0.738,
2008-01,0.717,
2008-04,0.697,
2008-07,0.676,
2008-10,0.661,
2009-01,0.604,
2009-04,1.230,
2009-07,1.221,
2009-10,1.013,
2010-01,1.021,
2010-04,0.921,
2010-07,0.903,
2010-10,0.929,
2011-01,0.600,
2011-04,0.440,
2011-07,0.454,
2011-10,0.435,
2012-01,0.430,
2012-04,0.423,
2012-07,0.409,
2012-10,0.435,
2013-01,0.438,
2013-04,0.480,
2013-07,0.832,
2013-10,0.808,
2014-01,0.797,
2014-04,0.785,
2014-07,0.767,
