"",BBFN1.M.DE.N.1.L.BA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:54,
1994-07,0.024,
1994-08,0.026,
1994-09,0.029,
1994-10,0.037,
1994-11,0.038,
1994-12,0.037,
1995-01,0.038,
1995-02,0.038,
1995-03,0.037,
1995-04,0.036,
1995-05,0.035,
1995-06,0.036,
1995-07,0.034,
1995-08,0.034,
1995-09,0.036,
1995-10,0.036,
1995-11,0.037,
1995-12,0.034,
1996-01,0.033,
1996-02,0.038,
1996-03,0.035,
1996-04,0.036,
1996-05,0.035,
1996-06,0.034,
1996-07,0.033,
1996-08,0.032,
1996-09,0.034,
1996-10,0.030,
1996-11,0.030,
1996-12,0.029,
1997-01,0.030,
1997-02,0.033,
1997-03,0.033,
1997-04,0.035,
1997-05,0.035,
1997-06,0.034,
1997-07,0.034,
1997-08,0.033,
1997-09,0.033,
1997-10,0.035,
1997-11,0.033,
1997-12,0.030,
1998-01,0.027,
1998-02,0.028,
1998-03,0.030,
1998-04,0.030,
1998-05,0.030,
1998-06,0.032,
1998-07,0.034,
1998-08,0.027,
1998-09,0.026,
1998-10,0.026,
1998-11,0.030,
1998-12,0.030,
1999-01,0.028,
1999-02,0.035,
1999-03,0.026,
1999-04,0.027,
1999-05,0.031,
1999-06,0.032,
1999-07,0.035,
1999-08,0.031,
1999-09,0.029,
1999-10,0.038,
1999-11,0.032,
1999-12,0.024,
2000-01,0.026,
2000-02,0.018,
2000-03,0.029,
2000-04,0.026,
2000-05,0.029,
2000-06,0.021,
2000-07,0.022,
2000-08,0.026,
2000-09,0.026,
2000-10,0.031,
2000-11,0.025,
2000-12,0.023,
2001-01,0.023,
2001-02,0.025,
2001-03,0.022,
2001-04,0.022,
2001-05,0.019,
2001-06,0.023,
2001-07,0.022,
2001-08,0.023,
2001-09,0.025,
2001-10,0.028,
2001-11,0.028,
2001-12,0.030,
2002-01,0.025,
2002-02,0.028,
2002-03,0.025,
2002-04,0.029,
2002-05,0.029,
2002-06,0.029,
2002-07,0.026,
2002-08,0.023,
2002-09,0.027,
2002-10,0.026,
2002-11,0.028,
2002-12,0.025,
2003-01,0.026,
2003-02,0.028,
2003-03,0.025,
2003-04,0.028,
2003-05,0.028,
2003-06,0.025,
2003-07,0.027,
2003-08,0.028,
2003-09,0.027,
2003-10,0.025,
2003-11,0.023,
2003-12,0.024,
2004-01,0.018,
2004-02,0.026,
2004-03,0.027,
2004-04,0.026,
2004-05,0.031,
2004-06,0.028,
2004-07,0.024,
2004-08,0.022,
2004-09,0.021,
2004-10,0.021,
2004-11,0.028,
2004-12,0.024,
2005-01,0.028,
2005-02,0.036,
2005-03,0.026,
2005-04,0.029,
2005-05,0.035,
2005-06,0.034,
2005-07,0.031,
2005-08,0.033,
2005-09,0.034,
2005-10,0.038,
2005-11,0.040,
2005-12,0.044,
2006-01,0.043,
2006-02,0.039,
2006-03,0.040,
2006-04,0.043,
2006-05,0.032,
2006-06,0.029,
2006-07,0.026,
2006-08,0.029,
2006-09,0.031,
2006-10,0.037,
2006-11,0.029,
2006-12,0.034,
2007-01,0.032,
2007-02,0.038,
2007-03,0.033,
2007-04,0.026,
2007-05,0.033,
2007-06,0.036,
2007-07,0.036,
2007-08,0.036,
2007-09,0.034,
2007-10,0.036,
2007-11,0.038,
2007-12,0.041,
2008-01,0.044,
2008-02,0.042,
2008-03,0.043,
2008-04,0.043,
2008-05,0.067,
2008-06,0.042,
2008-07,0.048,
2008-08,0.047,
2008-09,0.049,
2008-10,0.048,
2008-11,0.027,
2008-12,0.022,
2009-01,0.024,
2009-02,0.026,
2009-03,0.035,
2009-04,0.024,
2009-05,0.038,
2009-06,0.030,
2009-07,0.018,
2009-08,0.034,
2009-09,0.036,
2009-10,0.036,
2009-11,0.037,
2009-12,0.033,
2010-01,0.036,
2010-02,0.046,
2010-03,0.040,
2010-04,0.052,
2010-05,0.042,
2010-06,0.044,
2010-07,0.074,
2010-08,0.044,
2010-09,0.052,
2010-10,0.047,
2010-11,0.059,
2010-12,0.065,
2011-01,0.068,
2011-02,0.072,
2011-03,0.071,
2011-04,0.058,
2011-05,0.057,
2011-06,0.060,
2011-07,0.057,
2011-08,0.063,
2011-09,0.072,
2011-10,0.066,
2011-11,0.072,
2011-12,0.066,
2012-01,0.062,
2012-02,0.063,
2012-03,0.066,
2012-04,0.077,
2012-05,0.078,
2012-06,0.080,
2012-07,0.083,
2012-08,0.079,
2012-09,0.088,
2012-10,0.088,
2012-11,0.089,
2012-12,0.081,
2013-01,0.081,
2013-02,0.087,
2013-03,0.080,
2013-04,0.081,
2013-05,0.072,
2013-06,0.077,
2013-07,0.072,
2013-08,0.069,
2013-09,0.077,
2013-10,0.075,
2013-11,0.085,
2013-12,0.079,
2014-01,0.062,
2014-02,0.092,
2014-03,0.077,
2014-04,0.077,
2014-05,0.067,
2014-06,0.069,
2014-07,0.070,
2014-08,0.067,
2014-09,0.075,
2014-10,0.077,
2014-11,0.079,
2014-12,0.066,
