"",BBK01.OEHL09N,BBK01.OEHL09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:26,
2002-01,12.006,
2002-04,11.497,
2002-07,11.835,
2002-10,11.805,
2003-01,11.529,
2003-04,11.169,
2003-07,10.744,
2003-10,10.989,
2004-01,10.987,
2004-04,10.831,
2004-07,10.644,
2004-10,10.569,
2005-01,10.304,
2005-04,9.921,
2005-07,9.937,
2005-10,10.331,
2006-01,11.062,
2006-04,11.428,
2006-07,11.772,
2006-10,12.613,
2007-01,12.832,
2007-04,12.744,
2007-07,12.757,
2007-10,12.878,
2008-01,12.808,
2008-04,12.561,
2008-07,12.446,
2008-10,12.715,
2009-01,12.570,
2009-04,12.610,
2009-07,12.775,
2009-10,13.253,
2010-01,13.424,
2010-04,12.980,
2010-07,12.246,
2010-10,11.274,
2011-01,10.430,
2011-04,10.357,
2011-07,10.532,
2011-10,10.588,
2012-01,10.638,
2012-04,10.605,
2012-07,10.404,
2012-10,10.445,
2013-01,10.157,
2013-04,9.865,
2013-07,9.360,
2013-10,9.168,
2014-01,9.055,
2014-04,9.084,
2014-07,9.053,
