"",BBK01.OEBB12J,BBK01.OEBB12J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:02,
2002-01,0.605,
2002-04,0.572,
2002-07,0.548,
2002-10,0.539,
2003-01,0.514,
2003-04,0.504,
2003-07,0.492,
2003-10,0.486,
2004-01,0.465,
2004-04,0.454,
2004-07,0.436,
2004-10,0.417,
2005-01,0.417,
2005-04,0.401,
2005-07,0.406,
2005-10,0.537,
2006-01,0.533,
2006-04,0.548,
2006-07,0.548,
2006-10,0.544,
2007-01,0.558,
2007-04,0.590,
2007-07,0.628,
2007-10,0.671,
2008-01,0.677,
2008-04,0.746,
2008-07,0.779,
2008-10,0.813,
2009-01,0.823,
2009-04,0.826,
2009-07,0.798,
2009-10,0.795,
2010-01,0.791,
2010-04,0.773,
2010-07,0.761,
2010-10,0.740,
2011-01,0.734,
2011-04,0.680,
2011-07,0.698,
2011-10,0.732,
2012-01,0.742,
2012-04,0.874,
2012-07,0.887,
2012-10,0.854,
2013-01,0.832,
2013-04,0.802,
2013-07,0.817,
2013-10,0.795,
2014-01,0.851,
2014-04,0.846,
2014-07,0.772,
