"",BBK01.OEAE27G,BBK01.OEAE27G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:58,
2002-01,0.992,
2002-04,1.169,
2002-07,1.129,
2002-10,1.304,
2003-01,1.154,
2003-04,1.094,
2003-07,1.095,
2003-10,1.073,
2004-01,1.071,
2004-04,1.087,
2004-07,1.035,
2004-10,1.048,
2005-01,1.064,
2005-04,1.068,
2005-07,1.026,
2005-10,0.974,
2006-01,0.958,
2006-04,0.952,
2006-07,0.957,
2006-10,0.881,
2007-01,0.876,
2007-04,0.872,
2007-07,0.861,
2007-10,0.913,
2008-01,0.884,
2008-04,0.879,
2008-07,0.893,
2008-10,0.791,
2009-01,0.713,
2009-04,0.678,
2009-07,0.697,
2009-10,0.682,
2010-01,0.572,
2010-04,0.662,
2010-07,0.652,
2010-10,0.610,
2011-01,0.581,
2011-04,0.575,
2011-07,0.588,
2011-10,0.599,
2012-01,0.601,
2012-04,0.613,
2012-07,0.601,
2012-10,0.591,
2013-01,0.567,
2013-04,0.550,
2013-07,0.583,
2013-10,0.582,
2014-01,0.569,
2014-04,0.535,
2014-07,0.534,
