"",BBK01.OEAC47T,BBK01.OEAC47T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:39,
2002-01,0.927,
2002-04,0.958,
2002-07,0.968,
2002-10,0.989,
2003-01,0.995,
2003-04,0.995,
2003-07,1.039,
2003-10,1.030,
2004-01,1.024,
2004-04,1.023,
2004-07,1.006,
2004-10,1.024,
2005-01,1.011,
2005-04,1.014,
2005-07,0.970,
2005-10,0.964,
2006-01,0.965,
2006-04,0.972,
2006-07,0.985,
2006-10,0.958,
2007-01,0.949,
2007-04,0.719,
2007-07,0.706,
2007-10,0.695,
2008-01,0.677,
2008-04,0.699,
2008-07,0.685,
2008-10,0.679,
2009-01,0.649,
2009-04,0.662,
2009-07,0.665,
2009-10,0.631,
2010-01,0.703,
2010-04,0.712,
2010-07,0.726,
2010-10,0.732,
2011-01,0.719,
2011-04,0.689,
2011-07,0.678,
2011-10,0.709,
2012-01,0.703,
2012-04,0.697,
2012-07,0.704,
2012-10,0.733,
2013-01,0.749,
2013-04,0.727,
2013-07,0.733,
2013-10,0.689,
2014-01,0.683,
2014-04,0.689,
2014-07,0.716,
